name,path,owner,purpose,inputs,outputs,side_effects,dependencies,last_modified,test_coverage,repro_steps,acceptance_tests,known_limitations,checksum
page2_5y_verification.py,archive/pages/archive/page2_5y_verification.py,,Script page2_5y_verification.py — purpose to be filled by owner,,,,,2026-01-25,unit: no; integration: no,,,,a56592efea1867fcf7933ee4f4894b7ff9eb289fd38b5098dc505a51dccd7218
page1_top_picks.py,archive/pages/page1_top_picks.py,,Script page1_top_picks.py — purpose to be filled by owner,,,,,2026-01-25,unit: no; integration: no,,,,0d761e241e5ba9cc6cc47c0fd38fbdeaa21a8270140d6a46826feeebc9e3319f
page2_5y_verification.py,archive/pages/page2_5y_verification.py,,Script page2_5y_verification.py — purpose to be filled by owner,,,,,2026-01-25,unit: no; integration: no,,,,a56592efea1867fcf7933ee4f4894b7ff9eb289fd38b5098dc505a51dccd7218
performance_engine_quant_v1.py,archive/performance_engine_quant_v1.py,,Script performance_engine_quant_v1.py — purpose to be filled by owner,,,,,2026-01-21,unit: no; integration: no,,,,9a8e6f7229b0db914839b36a4e1489e1b6a8bff70169cf05d291813dba8510d0
portfolio_engine_quant_v1.py,archive/portfolio_engine_quant_v1.py,,Script portfolio_engine_quant_v1.py — purpose to be filled by owner,,,,,2026-01-22,unit: no; integration: no,,,,1c35c1b0828195de9a8204b50cd042c320dd520d11ffdff19c3bf2ed927bb30b
quant_alpha_engine_v1.py,archive/quant_alpha_engine_v1.py,,Script quant_alpha_engine_v1.py — purpose to be filled by owner,,,,,2026-01-23,unit: no; integration: no,,,,c142420919d766b8723c5d7259090f2bacc51c161768c8abb4188f3c84f965e6
quant_dashboard_v1.py,archive/quant_dashboard_v1.py,,Script quant_dashboard_v1.py — purpose to be filled by owner,,,,,2026-01-24,unit: no; integration: no,,,,84b4a5054b4636caf1f3093004795c4b157667d74483222c1071aa1339c61149
streamlit_quant_dashboard_v1.py,archive/streamlit_quant_dashboard_v1.py,,Script streamlit_quant_dashboard_v1.py — purpose to be filled by owner,,,,,2026-01-31,unit: no; integration: no,,,,8281c7b8a8cf441783934413381d89bdee07c3d4a4ac4491016e948062f81f7e
export_worst_episode.py,export_worst_episode.py,,Script export_worst_episode.py — purpose to be filled by owner,,,,,2026-02-03,unit: no; integration: no,,,,ccc82e1b91fc79ebb660a1626066ed9339574c757f9fd48abea00ed910d2e5a4
inspect_selection_file.py,inspect_selection_file.py,,Script inspect_selection_file.py — purpose to be filled by owner,,,,,2026-01-29,unit: no; integration: no,,,,01e271bc5cdac442340e8ade14d1acbf65b7b56f08f4da611587dd670da47a88
compliance_checker_quant_v1.py,manifest/compliance_checker_quant_v1.py,,Script compliance_checker_quant_v1.py — purpose to be filled by owner,,,,,2026-01-25,unit: no; integration: no,,,,620319cf1ecf1b8259ed77e4b6b4bc7190ee276e911dc2cd606d8da51c926138
per_day_impact.py,per_day_impact.py,,Script per_day_impact.py — purpose to be filled by owner,,,,,2026-02-03,unit: no; integration: no,,,,25ef1f7a11a2d713e047d4eade4771e256b3b9f0bb0001718caef3c6692acbd4
per_ticker_pnl_20250404.py,per_ticker_pnl_20250404.py,,Script per_ticker_pnl_20250404.py — purpose to be filled by owner,,,,,2026-02-03,unit: no; integration: no,,,,9ce0ddd927fb42b1410c9fd812bd90143b21f944a7355a5b2bfd75706ed8b9fa
reconcile_trades_vs_mark.py,reconcile_trades_vs_mark.py,,Script reconcile_trades_vs_mark.py — purpose to be filled by owner,,,,,2026-02-03,unit: no; integration: no,,,,43d094eee0957e60f35737e4013cbbaad75edffd4c1ef6ac6446c7228e1bed63
run_returns_pipeline_quant_v2.py,run_returns_pipeline_quant_v2.py,,Script run_returns_pipeline_quant_v2.py — purpose to be filled by owner,,,,,2026-01-25,unit: no; integration: no,,,,8f8106acf08d1ddd5a4d9c00e2780032a0c97e981195ea4d36544df6c62bf156
__init__.py,scripts/__init__.py,,Script __init__.py — purpose to be filled by owner,,,,,2026-01-21,unit: no; integration: no,,,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
__init__.py,scripts/analytics/__init__.py,,Script __init__.py — purpose to be filled by owner,,,,,2026-01-21,unit: no; integration: no,,,,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
aggregate_verification_weekly.py,scripts/analytics/aggregate_verification_weekly.py,,Script aggregate_verification_weekly.py — purpose to be filled by owner,,,,,2026-02-04,unit: no; integration: no,,,,5c8938e74269067dd80c81a3c242804ab6f13126944da2360f5cf2fc63dd0d37
attribution_engine_v1.py,scripts/analytics/attribution_engine_v1.py,,Script attribution_engine_v1.py — purpose to be filled by owner,,,,,2026-01-25,unit: no; integration: no,,,,4ff55f4c5f929ca04f9667f3685c3b3c2300397772ec6b632583661a0f66b7cd
attribution_regime_quant_v1.py,scripts/analytics/attribution_regime_quant_v1.py,,Script attribution_regime_quant_v1.py — purpose to be filled by owner,,,,,2026-01-29,unit: no; integration: no,,,,944400fb04d64b36b2a060eec208809e32fd315d4d0180582039b6c2301eedf5
attribution_dashboard_v1.py,scripts/analytics/attribution_suite_v1/attribution_dashboard_v1.py,,Script attribution_dashboard_v1.py — purpose to be filled by owner,,,,,2026-01-24,unit: no; integration: no,,,,f7f0b3b1fa2785e5369dff0229a895d148fdb7814b52aa6eab2ff6a459b04086
attribution_diagnostics_v1.py,scripts/analytics/attribution_suite_v1/attribution_diagnostics_v1.py,,Script attribution_diagnostics_v1.py — purpose to be filled by owner,,,,,2026-01-23,unit: no; integration: no,,,,8d7fdbccbf54d55124c79709190ba73cf083bee77ba41f9aee818ff6dc066213
attribution_expected_vs_realised_v1.py,scripts/analytics/attribution_suite_v1/attribution_expected_vs_realised_v1.py,,Script attribution_expected_vs_realised_v1.py — purpose to be filled by owner,,,,,2026-01-24,unit: no; integration: no,,,,25983baa52e4da673a319b5ae181ccb04ae91ee4770d93239c4d8a3167360431
attribution_regime_summary_v1.py,scripts/analytics/attribution_suite_v1/attribution_regime_summary_v1.py,,Script attribution_regime_summary_v1.py — purpose to be filled by owner,,,,,2026-01-23,unit: no; integration: no,,,,12735a8d50994d8f5b961da582ccf929cd4314f673ff2ec7e0c77c54ff730c4e
attribution_rolling_v1.py,scripts/analytics/attribution_suite_v1/attribution_rolling_v1.py,,Script attribution_rolling_v1.py — purpose to be filled by owner,,,,,2026-01-23,unit: no; integration: no,,,,fb0c766bead35e9e4105df5f0df98358b85e5dd358c1679f5c2b0f5a7cddaa0a
attribution_sector_v1.py,scripts/analytics/attribution_suite_v1/attribution_sector_v1.py,,Script attribution_sector_v1.py — purpose to be filled by owner,,,,,2026-01-23,unit: no; integration: no,,,,d7224c5956525d07d2f6de177b4bb3a9296a9736788bf9bf20c647b8cf4a8511
build_positions_timeseries_v1.py,scripts/analytics/attribution_suite_v1/build_positions_timeseries_v1.py,,Script build_positions_timeseries_v1.py — purpose to be filled by owner,,,,,2026-01-24,unit: no; integration: no,,,,95c1d07422c5a90c9cf7e85edfd9c1f0ab26cbe4b1a9f2ebc4116d6f0c87ee7a
factor_returns_alignment_v1.py,scripts/analytics/attribution_suite_v1/factor_returns_alignment_v1.py,,Script factor_returns_alignment_v1.py — purpose to be filled by owner,,,,,2026-01-23,unit: no; integration: no,,,,e075323b082137237a62db2936ffc7de63ec0511fd29ffee160dea5f3539c8cf
liquidity_costs_enhanced_v1.py,scripts/analytics/attribution_suite_v1/liquidity_costs_enhanced_v1.py,,Script liquidity_costs_enhanced_v1.py — purpose to be filled by owner,,,,,2026-01-24,unit: no; integration: no,,,,c837dd9d0bd44439e88bc39c3918be941d7c09a2c147816a14f7598ab4e7314f
logging_attribution_suite_v1.py,scripts/analytics/attribution_suite_v1/logging_attribution_suite_v1.py,,Script logging_attribution_suite_v1.py — purpose to be filled by owner,,,,,2026-01-23,unit: no; integration: no,,,,75fd077329cb8b38035cf21cf7ad0c00a992867cff74fb897d5245f15afae1cb
run_attribution_suite_v1.py,scripts/analytics/attribution_suite_v1/run_attribution_suite_v1.py,,Script run_attribution_suite_v1.py — purpose to be filled by owner,,,,,2026-01-24,unit: no; integration: no,,,,8b758e65fd9c1d170ef48e05252eb529d92c041809be6639dd9024acb351a3d6
auto_fix_strategy_returns.py,scripts/analytics/auto_fix_strategy_returns.py,,Script auto_fix_strategy_returns.py — purpose to be filled by owner,,,,,2026-02-02,unit: no; integration: no,,,,9505c92c46e52503834cc7076bbb695cd65ee542f51f66be9d741bfd7e11dcd5
