date,portfolio_weekly_return,cumulative_return
2021-01-11,0.0030089411382375605,0.0030089411382374642
2021-01-18,0.02119344690483518,0.024266157877325556
2021-01-25,-0.031781388867103945,-0.008286443189588155
2021-02-01,0.10020503161639546,0.09108824512500702
2021-02-08,0.017988674111108563,0.11071547599302223
2021-02-15,0.008092925856364215,0.11970441398775011
2021-02-22,0.020107326325078466,0.14221867602743243
2021-03-01,-0.01288440908659968,0.1275018633391407
2021-03-08,0.04539035742884776,0.17867957591779615
2021-03-15,-0.0414709297934319,0.12979863797595703
2021-03-22,-0.0005068166438310356,0.12922603722205328
2021-03-29,0.0005073328426571067,0.12979893067751958
2021-04-05,-0.019891706797505605,0.10732530160834708
2021-04-12,-0.004447511391046674,0.10240045971584966
2021-04-19,0.029193139213535436,0.13458298980539984
2021-04-26,-0.020972188519053605,0.11078830145268959
2021-05-03,0.039277313580564105,0.1544170818904691
2021-05-10,0.02549932024596944,0.18385393275901163
2021-05-17,0.0021789094265645334,0.18643344325277567
2021-05-24,0.017134575663435108,0.20676247685582028
2021-05-31,0.026115302140505142,0.23827744355073444
2021-06-07,-0.02783985285327508,0.20380398173075243
2021-06-14,0.02040012944939093,0.22836173878975208
2021-06-21,0.016579784980104945,0.248727712296674
2021-06-28,-0.0042663916341362015,0.24340015083161748
2021-07-05,-0.018178456286558807,0.2207970555430243
2021-07-12,-0.017090620484734007,0.19993287637785784
2021-07-19,-0.0016471923031750005,0.19795635617956164
2021-07-26,-0.033806569181396635,0.15745756174808334
2021-08-02,0.023072870298711478,0.18416342994655976
2021-08-09,-0.041843164369076535,0.13461428490745653
2021-08-16,-0.01375254131784972,0.11901045507444419
2021-08-23,0.0019356233831873625,0.12117643787731747
2021-08-30,0.022922909349017896,0.14687706372703402
2021-09-06,0.012528326502054234,0.16124551403912357
2021-09-13,-0.021316490940775194,0.13649183455909286
2021-09-20,0.008468034846415336,0.14611568701680566
2021-09-27,0.037083882831176175,0.18861810686510982
2021-10-04,0.018934357203907033,0.21112382667952567
2021-10-11,0.047134097716846936,0.26820905547344
2021-10-18,0.0265385302629577,0.30186545987187885
2021-10-25,0.0076427691135616815,0.31181531699860043
2021-11-01,0.05577640463691218,0.3849836589284137
2021-11-08,0.007388566667449706,0.39521670302573475
2021-11-15,-0.051775823556257386,0.32297820918713116
2021-11-22,0.033393974665015314,0.3671577099870935
2021-11-29,-0.06937362345664395,0.2723130258086013
2021-12-06,0.010330894717090136,0.28545715772541236
2021-12-13,-0.017687735066311418,0.26272033208047163
2021-12-20,0.018815743058039756,0.2864793534030605
2021-12-27,-0.009783222060544149,0.27389344021241313
2022-01-03,0.013976623642682581,0.2916981693871441
2022-01-10,0.05211782316325929,0.3590186661595691
2022-01-17,-0.08022152974824885,0.24999610980382392
2022-01-24,0.004555754496631807,0.25569078520183486
2022-01-31,-0.0006573932601263017,0.25486530254284046
2022-02-07,-0.0044606297894219105,0.24926781299260603
2022-02-14,-0.034615955274767254,0.20602321425184766
2022-02-21,0.006952121545739471,0.21440763422430997
2022-02-28,-0.023987615193288864,0.18527689120674484
2022-03-07,-0.025440203844038122,0.15512320548281755
2022-03-14,0.11761097228868575,0.2909783687928751
2022-03-21,0.03278284940287692,0.33330031823938366
2022-03-28,0.016499023530258783,0.3552984715629166
2022-04-04,-0.09548009949269197,0.22589443865579595
2022-04-11,0.04558195465970853,0.2817731033761932
2022-04-18,-0.024567805527163755,0.25028275104249764
2022-04-25,-0.01774685065480212,0.2280941697834713
2022-05-02,-0.04254344800660724,0.1758468093240706
2022-05-09,0.013205255451597397,0.19137416681314057
2022-05-16,0.00587373803356209,0.19837198656895416
2022-05-23,0.0418755908407575,0.2485545215535414
2022-05-30,-0.010150381825168732,0.2358812164302322
2022-06-06,-0.1346160280122454,0.06951179597945223
2022-06-13,0.0009329846881657042,0.07050963410891353
2022-06-20,0.10054791917071618,0.17814715027076944
2022-06-27,-0.07641225154335732,0.0881222738691898
2022-07-04,-0.019887406511649868,0.06648234387437246
2022-07-11,0.01842238257466121,0.08612948962234745
2022-07-18,0.03938482796048061,0.1289065127139284
2022-07-25,0.008452254415855726,0.1384483177711029
2022-08-01,0.05647154331295623,0.20273825125767586
2022-08-08,0.04561236468469451,0.2575979869942726
2022-08-15,-0.040878658063230655,0.20618906890292665
2022-08-22,0.04924583661048061,0.26558885871146787
2022-08-29,-0.04157920333678996,0.21296668221432768
2022-09-05,0.03865619655879319,0.25985536070127213
2022-09-12,-0.08955584177809207,0.14702795335502783
2022-09-19,-0.08347701891573733,0.05127747919593073
2022-09-26,-0.0039016585580328514,0.04717575342235869
2022-10-03,0.04911794514832739,0.0986108746396166
