date,ticker,score,weight,side
2020-12-29,ALB,0.025249613370199,0.033333333333333326,long
2020-12-29,AMAT,0.0537779247243093,0.033333333333333326,long
2020-12-29,AMAT,0.0464281659938242,0.033333333333333326,long
2020-12-29,ASML,0.0035528108657924,0.033333333333333326,long
2020-12-29,ASML,0.0479657213361962,0.033333333333333326,long
2020-12-29,AXON,-0.0482338279662177,0.033333333333333326,long
2020-12-29,FANG,-0.0281484979289093,0.033333333333333326,long
2020-12-29,KLAC,0.0130724986532095,0.033333333333333326,long
2020-12-29,LRCX,0.0516993628448061,0.033333333333333326,long
2020-12-29,MPC,-0.0040648972449611,0.033333333333333326,long
2020-12-29,MRNA,0.1239477518803584,0.033333333333333326,long
2020-12-29,MRNA,0.0979986355013766,0.033333333333333326,long
2020-12-29,MSTR,0.0325448320055404,0.033333333333333326,long
2020-12-29,MSTR,0.0416082308128097,0.033333333333333326,long
2020-12-29,MTD,-0.0045444934007829,0.033333333333333326,long
2020-12-29,PSKY,0.0272858188282488,0.033333333333333326,long
2020-12-29,SLB,0.0058457407060142,0.033333333333333326,long
2020-12-29,SLB,-0.0105714663337987,0.033333333333333326,long
2020-12-29,SMCI,-0.101865884322158,0.033333333333333326,long
2020-12-29,SMCI,-0.137546572009337,0.033333333333333326,long
2020-12-29,STX,0.0134932809570231,0.033333333333333326,long
2020-12-29,TKO,-0.0587303549706545,0.033333333333333326,long
2020-12-29,TMO,0.0620768315837994,0.033333333333333326,long
2020-12-29,URI,-0.00567279834259,0.033333333333333326,long
2020-12-29,WBD,0.0065043015002319,0.033333333333333326,long
2020-12-29,WBD,0.0012714966145367,0.033333333333333326,long
2020-12-29,WDC,0.0790812109246647,0.033333333333333326,long
2020-12-29,WSM,-0.0364972670006662,0.033333333333333326,long
2020-12-29,WSM,-0.0241464428100187,0.033333333333333326,long
2020-12-29,XOM,0.0582877276503861,0.033333333333333326,long
2021-01-05,ALB,0.0321828636268298,0.013333333333333334,long
2021-01-05,ALB,0.032915381433847,0.013333333333333334,long
2021-01-05,ALB,0.0345711461543267,0.013333333333333334,long
2021-01-05,ALB,0.0145042899275541,0.013333333333333334,long
2021-01-05,ALB,0.039312270250812,0.013333333333333334,long
2021-01-05,AMAT,0.0497181294442035,0.013333333333333334,long
2021-01-05,AMAT,0.0525314778746088,0.013333333333333334,long
2021-01-05,AMAT,0.0529693267339919,0.013333333333333334,long
2021-01-05,AMAT,0.0590476352557129,0.013333333333333334,long
2021-01-05,AMAT,0.0582160986927995,0.013333333333333334,long
2021-01-05,ASML,0.0414547914059152,0.013333333333333334,long
2021-01-05,ASML,0.0247248296046397,0.013333333333333334,long
2021-01-05,ASML,0.0291467100983409,0.013333333333333334,long
2021-01-05,ASML,0.0235825003571067,0.013333333333333334,long
2021-01-05,COF,0.0220201271744579,0.013333333333333334,long
2021-01-05,COF,0.0324182964486169,0.013333333333333334,long
2021-01-05,COF,0.016696472169278,0.013333333333333334,long
2021-01-05,COF,0.0233490842053294,0.013333333333333334,long
2021-01-05,COR,-0.0031626189231257,0.013333333333333334,long
2021-01-05,COR,-0.0053769254248661,0.013333333333333334,long
2021-01-05,COR,-0.0076048308923101,0.013333333333333334,long
2021-01-05,DASH,0.0333952171515755,0.013333333333333334,long
2021-01-05,DE,0.0389363906379803,0.013333333333333334,long
2021-01-05,DE,0.0470724319167774,0.013333333333333334,long
2021-01-05,DE,0.0429622096602637,0.013333333333333334,long
2021-01-05,DE,0.0369310829931621,0.013333333333333334,long
2021-01-05,DE,0.0267628219944837,0.013333333333333334,long
