ticker,cum_return_last,weekly_return_last,monthly_return_last,annual_return_last,vol_20d_last
A,0.1383176310395455,-0.0328702116725365,-0.0236408624877826,-0.0874383536799312,0.0192523832972772
AAPL,0.9166987579551282,-0.0293116484520208,-0.0941163745014324,0.0669763495662727,0.0091695779266149
ABBV,1.0800681803377177,0.0229064066410578,-0.0462395272131664,0.1434680287188316,0.0184504167523512
ABNB,-0.0503054280060329,0.0114035679826565,-0.0338500140673586,0.0196758308092361,0.0163176118318253
ABT,-0.0154889783883451,-0.1177726980592602,-0.1393317821473754,-0.186581855559371,0.0233942247884685
ACGL,1.6636101724964425,0.0254825981214603,-0.0356846720638563,-0.00107455917413,0.011398686080728
ACN,0.0959604487604888,-0.0179587865005268,0.0410771015875401,-0.2942372697445856,0.0226049692407745
ADBE,-0.3796719627561541,0.0167162376355987,-0.1470621622937169,-0.3120444120260023,0.018889289571852
ADI,1.0928639717972692,0.0178185049242818,0.1010232338649685,0.4566253653872629,0.0176850703021275
ADM,0.3537197429749148,0.0357471896309529,0.1683974309881768,0.4533907648521273,0.0183155092566695
ADP,0.526219133939122,-0.0098679438647177,-0.0008911700150672,-0.1631672879285769,0.0115668987991713
ADSK,-0.0904190697649089,0.016221903417477,-0.0945977407310567,-0.1328365470754443,0.0240014100192295
AEE,0.3440168578257756,-0.0161538490882287,0.0248397781239941,0.0589939638398924,0.0082379487961198
AEP,0.4303408872197998,-0.0277592685600955,0.0114474002495181,0.1734580739474789,0.0090306022403413
AES,-0.3868330404327568,0.0042283595060599,0.0207736361791244,0.3597328838202593,0.0209503691412962
AFL,1.4795091396846085,-0.0220984910157281,-0.0319111039689473,-0.0018641492770066,0.0086219829605893
AIG,0.9477510803770992,-0.0083641931687784,-0.1641238730836237,-0.01444532022716,0.0194679029641218
AIZ,0.7666338529360401,-0.0026068402151776,-0.0351399397306532,0.0864444252504041,0.0108209571480782
AJG,1.105871683403973,-0.0205399293109356,-0.0289909982678578,-0.1994624834459257,0.0133606764100574
AKAM,-0.0965412033347509,0.0170072093658837,0.0704796460002155,-0.057587447653309,0.0247094960019513
ALB,0.2416300101172119,0.1623528110323746,0.2760756953506775,1.3724336632814174,0.035045463544058
ALGN,-0.6795008382682046,-0.0160942893300858,0.0689939156253909,-0.2201423772806816,0.0175348399468524
ALL,0.7917282625437834,0.0071250006546965,-0.0736666296601803,0.003315887300467,0.0152451384215491
ALLE,0.4570230447294561,0.0109703466775672,0.0369909650137845,0.2923219461262043,0.011445180396644
AMAT,2.7110624460696897,-0.0141586029312402,0.2362144581327685,0.7843582672832794,0.0303356303414211
AMCR,-0.2217926609517315,0.0815828105672897,0.0721549539294479,-0.1334637944906809,0.0226230415231629
AMD,1.8134342804968664,0.1201310901296639,0.2075892893572142,1.318364322142851,0.0274138893799652
AME,0.864673176335889,0.0236031149582269,0.0598233473540126,0.2247684110633041,0.0118551666674764
AMGN,0.5210005930906578,0.0434006119032499,0.0323092850071931,0.1200091054039742,0.0173158108699292
AMP,1.6399447370805411,-0.0249744778092056,-0.0087230674622017,-0.07744890974305,0.0169688718003512
AMT,-0.1860200590534592,-0.0262570525244122,0.0225972361514925,-0.0464632796432247,0.0151511572623337
AMZN,0.5010215047018567,0.0001673157650503,0.0291763432172915,0.0126603951236223,0.0168926218979167
ANET,6.703912675496832,0.0501424510130352,0.042593805027524,0.1805351013922045,0.0323197425619622
AON,0.6557809698771178,-0.0150351396800952,-0.0503574702437564,-0.1142812587488935,0.0104809171616156
AOS,0.3438427586261543,-0.0002759971238194,0.0662154217278108,0.1039000572553288,0.0164590525444385
APA,0.7467839158731451,0.0007757389403562,0.0591132426366636,0.1626858321820334,0.0308936719756009
APD,-0.025540662907314,-0.0231001857884338,0.0630898551768097,-0.2155185025015437,0.0122081521914365
APH,3.699346419972632,-0.0220221122477207,0.0946063710365754,1.17189316432775,0.0202965717928558
APO,1.8534644390282968,-0.0526133379713489,-0.0842459390710478,-0.17761690764046,0.0182226956052322
