ticker,cum_return_last,weekly_return_last,monthly_return_last,annual_return_last,vol_20d_last
A,0.13831763103954553,-0.032870211672536565,-0.023640862487782632,-0.08743835367993125,0.019252383297277235
AAPL,0.9166987579551282,-0.029311648452020833,-0.0941163745014324,0.06697634956627274,0.009169577926614901
ABBV,1.0800681803377175,0.022906406641057808,-0.04623952721316649,0.14346802871883169,0.018450416752351262
ABNB,-0.05030542800603299,0.011403567982656515,-0.03385001406735866,0.019675830809236183,0.016317611831825368
ABT,-0.015488978388345176,-0.11777269805926027,-0.1393317821473754,-0.186581855559371,0.023394224788468507
ACGL,1.6636101724964423,0.025482598121460365,-0.03568467206385639,-0.0010745591741300187,0.011398686080728011
ACN,0.09596044876048881,-0.017958786500526847,0.04107710158754019,-0.29423726974458564,0.022604969240774563
ADBE,-0.3796719627561541,0.016716237635598707,-0.14706216229371694,-0.3120444120260023,0.01888928957185207
ADI,1.0928639717972692,0.01781850492428183,0.10102323386496859,0.45662536538726295,0.017685070302127553
ADM,0.3537197429749148,0.035747189630952914,0.16839743098817683,0.45339076485212737,0.01831550925666955
ADP,0.526219133939122,-0.009867943864717788,-0.0008911700150672219,-0.16316728792857693,0.011566898799171306
ADSK,-0.09041906976490899,0.01622190341747709,-0.09459774073105676,-0.13283654707544434,0.02400141001922955
AEE,0.3440168578257756,-0.0161538490882287,0.024839778123994183,0.058993963839892416,0.008237948796119877
AEP,0.4303408872197998,-0.027759268560095585,0.01144740024951818,0.17345807394747892,0.009030602240341362
AES,-0.3868330404327568,0.004228359506059931,0.02077363617912442,0.35973288382025936,0.020950369141296273
AFL,1.4795091396846085,-0.02209849101572814,-0.03191110396894736,-0.0018641492770066215,0.008621982960589336
AIG,0.9477510803770992,-0.008364193168778455,-0.16412387308362375,-0.014445320227160052,0.01946790296412182
AIZ,0.7666338529360401,-0.0026068402151776526,-0.035139939730653214,0.08644442525040419,0.010820957148078214
AJG,1.105871683403973,-0.020539929310935623,-0.028990998267857893,-0.19946248344592576,0.013360676410057493
AKAM,-0.09654120333475091,0.017007209365883735,0.0704796460002155,-0.05758744765330903,0.024709496001951367
ALB,0.24163001011721197,0.16235281103237464,0.27607569535067755,1.3724336632814174,0.03504546354405805
ALGN,-0.6795008382682046,-0.01609428933008583,0.06899391562539092,-0.22014237728068164,0.01753483994685243
ALL,0.7917282625437834,0.007125000654696567,-0.07366662966018034,0.0033158873004670575,0.015245138421549193
ALLE,0.4570230447294561,0.010970346677567244,0.036990965013784516,0.2923219461262043,0.011445180396644097
AMAT,2.7110624460696897,-0.014158602931240272,0.23621445813276853,0.7843582672832794,0.03033563034142112
AMCR,-0.22179266095173156,0.08158281056728978,0.07215495392944793,-0.1334637944906809,0.022623041523162923
AMD,1.8134342804968662,0.12013109012966394,0.2075892893572142,1.318364322142851,0.027413889379965282
AME,0.864673176335889,0.02360311495822698,0.059823347354012624,0.22476841106330414,0.01185516666747647
AMGN,0.5210005930906578,0.04340061190324995,0.0323092850071931,0.12000910540397425,0.01731581086992929
AMP,1.6399447370805413,-0.024974477809205697,-0.00872306746220175,-0.07744890974305008,0.016968871800351244
AMT,-0.1860200590534592,-0.02625705252441224,0.02259723615149256,-0.04646327964322472,0.015151157262333716
AMZN,0.5010215047018567,0.0001673157650503576,0.029176343217291567,0.012660395123622381,0.01689262189791673
ANET,6.703912675496832,0.05014245101303527,0.04259380502752408,0.18053510139220452,0.032319742561962204
AON,0.6557809698771178,-0.015035139680095289,-0.050357470243756475,-0.1142812587488935,0.010480917161615642
AOS,0.3438427586261543,-0.000275997123819427,0.06621542172781081,0.1039000572553288,0.016459052544438517
APA,0.7467839158731451,0.0007757389403562076,0.05911324263666362,0.16268583218203347,0.030893671975600986
APD,-0.02554066290731405,-0.02310018578843387,0.06308985517680976,-0.2155185025015437,0.012208152191436585
APH,3.699346419972632,-0.02202211224772077,0.09460637103657543,1.17189316432775,0.020296571792855857
APO,1.8534644390282966,-0.05261333797134893,-0.08424593907104783,-0.17761690764046,0.01822269560523227
APP,7.043098124081597,-0.07797671400872497,-0.2791615489422251,0.42398237377160464,0.03498277642721419
APTV,-0.4095436301121398,-0.027222991642702477,-0.003907717018121981,0.2480822694528546,0.028900105454844477
ARE,-0.6504655552302119,0.031093440249412074,0.22415916081664244,-0.384766020490532,0.015567873896466501
ARM,0.8252869856315073,0.09727737790011481,0.04051991501039409,-0.3300819382731499,0.02507361389845484
ASML,1.778080078124996,0.02242806331515479,0.30362641114295985,0.8705341962973208,0.03080778718791351
ATO,0.7583749705875171,-0.030093299971124088,-0.018171007538603234,0.13980421288167477,0.00774795610621428
AVB,0.14949845268308426,-0.020008737710346836,-0.023488298900553706,-0.20291597447180354,0.014482280285813016
AVGO,6.526691891646507,-0.09001735643371145,-0.08614588921984989,0.3795258094524514,0.021486587972306233
AVY,0.23390388549659313,-0.006467009065330709,0.03147865142573658,0.01516539955001317,0.012634796051623145
AWK,-0.1366480166977292,-0.02722356174980578,-0.01195911090819779,0.049348807324613775,0.01064993881902848
AXON,4.247240245229698,-0.03600396857117327,0.037198662481949585,-0.099012524171184,0.02197244045500301
AXP,2.0641308000348286,-0.008498056500727325,-0.05591079253781406,0.12841232901401667,0.01807960912182844
AZN,0.839865322763629,-0.015255879338040956,0.005408329004920498,0.31026210529123355,0.017431114279122237
AZO,2.134530602739233,0.05053349483585201,0.07059565022480441,0.06503014230948057,0.015450486008841672
BA,0.24383382191265257,0.01804748608239226,0.1558030329290765,0.3866585953287496,0.014316916689789806
BAC,0.7222777235467543,-0.023598262624004662,-0.08053331163194444,0.09785609319942568,0.014021327690866062
BALL,-0.3609625752537836,0.02282451386419293,0.09737899575303843,0.1205313957641585,0.009560777411728642
BAX,-0.752371449420172,-0.013426178496717012,0.03819987016854953,-0.36955829089679504,0.020756428116016138
BBY,-0.33276938524115895,-0.010478144363768038,-0.038571765047460516,-0.22467622052442915,0.02439634204298597
BDX,-0.17497113227547134,-0.025686868372076455,0.02891086227876616,-0.17656902270275698,0.014297168325155608
BEN,0.03985206685594167,-0.026538482079139114,0.04673280175785277,0.22566585634367065,0.0174537854440457
BF-B,-0.6466743544004883,0.04431818534848442,0.025288223153978606,-0.11350484383751913,0.018729407093530853
BG,0.7288084014136775,0.053705602881407355,0.28086588507167787,0.6258765422716159,0.017327087626373482
BIIB,-0.29372299447097083,0.04360782294607479,-0.026881446401308184,0.17906959236710351,0.023111680612635816
BK,1.8210603138519517,-0.030660192570366895,-0.005159876535720587,0.37170519641509214,0.012974551566286853
BKNG,1.3559664226554125,-0.0034031395623181915,-0.06389592245320519,0.08492801228882851,0.01255108057410381
BKR,1.5651758798620876,0.04193233176705924,0.19028695534353623,0.10378710037238026,0.022142710598722994
BLDR,2.072056113111949,-0.0349396661660033,0.17619919298415443,-0.2451107201256174,0.03686541890884614
BLK,0.589586706250818,-0.028594279863683236,0.03760475564862187,0.1137605068306431,0.021400076739307012
BMY,-0.10964482608541848,-0.011038668371015858,-0.001096647040719434,-0.08474288454493684,0.015229412327717334
BR,0.36981057891048175,-0.05076841444613156,-0.09125147189384297,-0.1355741744689295,0.012149654865555
BRK-B,1.0966076061240528,-0.029029591267131227,-0.04462040786809818,0.011061132106587657,0.006024652131537958
BRO,0.7083064274400173,-0.01037372589543828,-0.020291999453613707,-0.25854481106514393,0.012912014428599286
BSX,1.6229090143339353,0.050414470952555135,-0.037657289302156505,-0.11870057101623777,0.016305634434473453
BX,1.3885713607545935,-0.07963305365419537,-0.03271846343795404,-0.13937666299850682,0.023403841452663932
BXP,-0.27890334635728875,-0.03620307866012784,-0.053886207615639004,-0.10263092831787957,0.014516884685354748
C,0.8887595192999331,-0.03769912354390159,-0.06556434173060488,0.4295242593337425,0.02191067775789449
CAG,-0.5137538431827713,0.03183967834183021,0.02459016851112561,-0.30306652430802206,0.018522079981019176
CAH,2.935953157564665,-0.01939277560070396,0.0038065364290182924,0.6346018581362389,0.011950513261554625
CARR,0.5473940352678701,0.019754416043426426,0.07102802312262702,-0.1124535098525078,0.01754923749772359
CAT,2.4401318480048677,-0.03133456858545891,0.0734205574800686,0.7461891722427048,0.021204888967665536
CB,1.0096841798464347,0.0004655206754391461,-0.039608079190639356,0.10304258477633677,0.010098096750163267
CBOE,1.984451061730638,0.010382112894182116,0.07981718783672576,0.32701179310699513,0.010235154733955549
CBRE,1.8442016088662085,-0.013753719102040818,0.02600941689482994,0.1502072324562822,0.01614815179727225
CCEP,0.8564048686254546,0.0062716715517063815,-0.018354641402615002,0.1356167259233645,0.012737824901454043
CCI,-0.44129033242502536,-0.046990251385477855,-0.014228799336498898,-0.03617139738667974,0.015721732347482992
CCL,0.40088323909364965,-0.012793943231580118,-0.08640002441406247,0.050018340429946795,0.015825017623882023
CDNS,1.3447261358587514,0.0027405735824010957,0.0017623286171435382,0.05177602426482775,0.01991673076770639
CDW,-0.009122394060257055,-0.0436432637571158,-0.0916300634321614,-0.3887352786333431,0.018926034901725258
CEG,5.882380894252241,-0.060608996829428885,-0.20577005670173398,-0.0789280504524642,0.03391404526871587
CF,1.3976122548712864,0.06489910378579777,0.19092429569239666,0.03010701314734887,0.022130190874317647
CFG,0.7635134736029243,0.029924362117007774,0.0464416764275164,0.3145854645068249,0.0207237741664553
CHD,0.06732103849628968,0.020086079710458504,0.08155863907526673,-0.13769942905168586,0.012643688164045779
CHRW,0.9125256945891607,0.005063431575440092,0.07099125147326646,0.8165553075795309,0.01224201203693891
