ticker,total_picks,mean_realized_return,std_realized_return,hit_rate,first_picked_week,last_picked_week
PTC,1,-0.3228594297566192,0.0,0.0,2025-04-08,2025-04-08
Q,2,0.06524317676030385,0.06524317676030385,0.5,2025-08-12,2026-12-01
REGN,1,0.0476820300433813,0.0,1.0,2023-03-07,2023-03-07
SMCI,2,-0.3156654466683766,0.11555558729605558,0.0,2025-04-08,2025-06-10
SNPS,3,0.11503953421769807,0.1609341116769977,0.6666666666666666,2025-06-10,2026-12-01
SW,2,0.12215528615791656,0.049220567067160256,1.0,2023-03-07,2025-06-10
SWKS,1,0.0,0.0,0.0,2026-12-01,2026-12-01
TAP,1,-0.1292336464248308,0.0,0.0,2021-12-07,2021-12-07
TEAM,2,0.13923187204828166,0.19454537056392066,0.5,2023-03-07,2025-06-10
TEL,1,-0.3629902110380285,0.0,0.0,2025-04-08,2025-04-08
TER,1,-0.5074561940162411,0.0,0.0,2025-03-11,2025-03-11
TKO,1,-0.1391771445729279,0.0,0.0,2021-12-07,2021-12-07
TPR,1,-0.4299758769576191,0.0,0.0,2025-04-08,2025-04-08
TSLA,1,-0.3764563249211322,0.0,0.0,2023-03-07,2023-03-07
TTD,2,-0.13496405564329328,0.3231464809871919,0.5,2021-12-07,2025-04-08
UNH,1,1.4361358119631875,0.0,1.0,2025-04-08,2025-04-08
URI,2,-0.0451151400327113,0.0451151400327113,0.0,2023-03-07,2026-12-01
VLO,1,-0.0482700763077817,0.0,0.0,2021-12-07,2021-12-07
VTRS,1,-0.1149506402934249,0.0,0.0,2021-12-07,2021-12-07
WBD,3,-0.5106042257463167,0.05473162494529514,0.0,2025-03-11,2025-08-12
WDC,2,-0.6292772456321436,0.08753076101212129,0.0,2025-03-11,2025-06-10
WRB,1,0.0583996299955582,0.0,1.0,2025-08-12,2025-08-12
WTW,1,0.0300661914443032,0.0,1.0,2021-12-07,2021-12-07
XYZ,1,-0.3036639512849922,0.0,0.0,2022-03-01,2022-03-01
ZS,1,0.1312887669692337,0.0,1.0,2025-08-12,2025-08-12
