run_at_utc,strategy_rows,weekly_rows,final_long_cum,unit_converted,clip_value
2026-02-05T11:35:12.631475Z,1251,10,236.73374604180978,False,0.5,aggregated_attribution
2026-02-05T16:11:41.134597+00:00,1251,10,236.73374604180978,False,0.5,aggregated_attribution
2026-02-05T16:12:15.893415+00:00,1251,10,236.73374604180978,False,0.5,aggregated_attribution
2026-02-05T16:12:53.040973+00:00,1251,10,236.73374604180978,False,0.5,aggregated_attribution
2026-02-05T16:13:27.431848+00:00,1251,10,236.73374604180978,False,0.5,aggregated_attribution
2026-02-05T16:14:01.545804+00:00,1251,10,236.73374604180978,False,0.5,aggregated_attribution
2026-02-06T01:00:46.117641+00:00,1251,10,236.73374604180978,False,0.5,aggregated_attribution
2026-02-06T15:33:36.433084+00:00,1251,10,236.73374604180978,False,0.5,aggregated_attribution
2026-02-06T15:43:38.468659+00:00,1251,10,236.73374604180978,False,0.5,aggregated_attribution
2026-02-06T16:49:23.682699+00:00,1251,10,236.73374604180978,False,0.5,aggregated_attribution
2026-02-06T16:51:18.869500+00:00,1251,10,236.73374604180978,False,0.5,aggregated_attribution
2026-02-06T17:09:54.331601+00:00,1251,10,236.73374604180978,False,0.5,aggregated_attribution
