date,ticker,company_name,market_sector,open,high,low,close,adj_close,volume,run_date
23/01/2026,AIZ,"Assurant, Inc.",Financial Services,236.0899963,236.8800049,231.3999939,233.3899994,233.3899994,259200,2026-01-25 21:27:44 UTC
19/01/2026,AJG,Arthur J. Gallagher & Co.,Financial Services,255.2299957,258.5899963,253.3899994,258.519989,258.519989,2126400,2026-01-25 21:27:44 UTC
23/01/2026,AJG,Arthur J. Gallagher & Co.,Financial Services,248.5800018,253.7200012,248.5800018,253.2100067,253.2100067,1504800,2026-01-25 21:27:44 UTC
19/01/2026,AKAM,"Akamai Technologies, Inc.",Technology,93.13999939,95.04000092,92.56999969,93.48999786,93.48999786,4081100,2026-01-25 21:27:44 UTC
23/01/2026,AKAM,"Akamai Technologies, Inc.",Technology,96.52999878,96.98999786,94.88999939,95.08000183,95.08000183,2934100,2026-01-25 21:27:44 UTC
19/01/2026,ALB,Albemarle Corporation,Basic Materials,166.1999969,166.4799957,161.7599945,163.0399933,163.0399933,4817600,2026-01-25 21:27:44 UTC
23/01/2026,ALB,Albemarle Corporation,Basic Materials,188.6799927,191.9700012,185.2100067,189.5099945,189.5099945,3021100,2026-01-25 21:27:44 UTC
19/01/2026,ALGN,"Align Technology, Inc.",Healthcare,171,174.6699982,171,171.4900055,171.4900055,1371000,2026-01-25 21:27:44 UTC
23/01/2026,ALGN,"Align Technology, Inc.",Healthcare,168.1999969,169.8699951,167.5700073,168.7299957,168.7299957,408000,2026-01-25 21:27:44 UTC
19/01/2026,ALL,The Allstate Corporation,Financial Services,195.0500031,195.7299957,191.8000031,192.2799988,192.2799988,2401300,2026-01-25 21:27:44 UTC
23/01/2026,ALL,The Allstate Corporation,Financial Services,194.3399963,194.8399963,191.6300049,193.6499939,193.6499939,1460100,2026-01-25 21:27:44 UTC
19/01/2026,ALLE,Allegion plc,Industrials,163.6100006,166.1000061,162.5299988,164.9900055,164.9900055,987700,2026-01-25 21:27:44 UTC
23/01/2026,ALLE,Allegion plc,Industrials,166.4400024,168.8000031,166.3099976,166.8000031,166.8000031,1255500,2026-01-25 21:27:44 UTC
19/01/2026,AMAT,"Applied Materials, Inc.",Technology,325.7200012,330.1900024,320.1700134,327.0100098,327.0100098,11399300,2026-01-25 21:27:44 UTC
23/01/2026,AMAT,"Applied Materials, Inc.",Technology,318.980011,323.6400146,311.0700073,322.3800049,322.3800049,6197200,2026-01-25 21:27:44 UTC
19/01/2026,AMCR,Amcor plc,Consumer Cyclical,43.88000107,43.88999939,40.84999847,40.93999863,40.93999863,10280300,2026-01-25 21:27:44 UTC
23/01/2026,AMCR,Amcor plc,Consumer Cyclical,42.59999847,44.40000153,42.50999832,44.27999878,44.27999878,15260600,2026-01-25 21:27:44 UTC
19/01/2026,AMD,"Advanced Micro Devices, Inc.",Technology,234.3000031,234.4900055,228.8600006,231.8300018,231.8300018,42545600,2026-01-25 21:27:44 UTC
23/01/2026,AMD,"Advanced Micro Devices, Inc.",Technology,261.1799927,266.9599915,256.25,259.6799927,259.6799927,47426900,2026-01-25 21:27:44 UTC
19/01/2026,AME,"AMETEK, Inc.",Industrials,214.9400024,215.8500061,213.0599976,215.6499939,215.6499939,1318600,2026-01-25 21:27:44 UTC
23/01/2026,AME,"AMETEK, Inc.",Industrials,223.9100037,224.3699951,219.6399994,220.7400055,220.7400055,2177900,2026-01-25 21:27:44 UTC
19/01/2026,AMGN,Amgen Inc.,Healthcare,328.7000122,333.0299988,326.8999939,330.4100037,330.4100037,4033700,2026-01-25 21:27:44 UTC
23/01/2026,AMGN,Amgen Inc.,Healthcare,346.1799927,349.230011,341.8200073,344.75,344.75,2024900,2026-01-25 21:27:44 UTC
19/01/2026,AMP,"Ameriprise Financial, Inc.",Financial Services,507.1499939,512.6199951,504.7099915,509.3200073,509.3200073,647500,2026-01-25 21:27:44 UTC
23/01/2026,AMP,"Ameriprise Financial, Inc.",Financial Services,504.4599915,506.5400085,491.0400085,496.6000061,496.6000061,772000,2026-01-25 21:27:44 UTC
19/01/2026,AMT,American Tower Corporation,Real Estate,179.6799927,184.1699982,178.6499939,183.5700073,183.5700073,4130800,2026-01-25 21:27:44 UTC
23/01/2026,AMT,American Tower Corporation,Real Estate,176.3800049,179.6999969,175.1499939,178.75,178.75,2869700,2026-01-25 21:27:44 UTC
19/01/2026,AMZN,"Amazon.com, Inc.",Consumer Cyclical,239.0899963,239.5700073,236.4100037,239.1199951,239.1199951,45888300,2026-01-25 21:27:44 UTC
23/01/2026,AMZN,"Amazon.com, Inc.",Consumer Cyclical,234.9600067,240.4499969,234.5700073,239.1600037,239.1600037,33744100,2026-01-25 21:27:44 UTC
19/01/2026,ANET,"Arista Networks, Inc.",Technology,132.1799927,132.9400024,129.3300018,129.8300018,129.8300018,5987000,2026-01-25 21:27:44 UTC
23/01/2026,ANET,"Arista Networks, Inc.",Technology,138.3699951,138.8999939,134.8600006,136.3399963,136.3399963,8053100,2026-01-25 21:27:44 UTC
