PS C:\Quant\scripts> & "C:\Quant\quant_freshness_audit.ps1"
=== Quant Freshness Audit ===

=== Freshness Report ===

FileName                                                               Cadence LastUpdated         Status
composite_signal_quant_v1.py                                           Daily   22/01/2026 08:03:26 RED
portfolio_engine_quant_v1.py                                           Daily   22/01/2026 08:10:48 RED
quant_portfolio_weights_longshort.csv                                  Daily   22/01/2026 08:11:14 RED
quant_portfolio_weights_longonly.csv                                   Daily   22/01/2026 08:11:16 RED
quant_portfolio_performance.csv                                        Daily   22/01/2026 08:11:16 RED
vol_target_quant_v1.py                                                 Daily   22/01/2026 08:16:38 RED
quant_portfolio_performance_voltarget.csv                              Daily   22/01/2026 08:16:50 RED
regime_awareness_quant_v1.py                                           Daily   22/01/2026 08:19:24 RED
quant_regime_states.csv                                                Daily   22/01/2026 08:19:44 RED
regime_exposure_quant_v1.py                                            Daily   22/01/2026 08:21:38 RED
quant_portfolio_performance_regime_vt.csv                              Daily   22/01/2026 08:21:50 RED
turnover_optimisation_quant_v1.py                                      Daily   22/01/2026 08:26:42 RED
quant_portfolio_weights_longshort_to.csv                               Daily   22/01/2026 08:27:04 RED
quant_portfolio_performance_to.csv                                     Daily   22/01/2026 08:27:06 RED
quant_portfolio_weights_longonly_to.csv                                Daily   22/01/2026 08:27:06 RED
risk_controls_quant_v1.py                                              Daily   22/01/2026 08:33:48 RED
quant_portfolio_weights_longonly_rc.csv                                Daily   22/01/2026 08:34:08 RED
quant_portfolio_weights_longshort_rc.csv                               Daily   22/01/2026 08:34:08 RED
quant_portfolio_performance_rc.csv                                     Daily   22/01/2026 08:34:08 RED
multi_horizon_signal_quant_v1.py                                       Daily   22/01/2026 08:36:58 RED
quant_factors_composite_mh.csv                                         Daily   22/01/2026 08:37:16 RED
quant_portfolio_performance_ensemble.csv                               Daily   22/01/2026 08:46:22 RED
quant_portfolio_weights_ensemble_longshort.csv                         Daily   22/01/2026 08:46:22 RED
quant_portfolio_weights_ensemble_longonly.csv                          Daily   22/01/2026 08:46:22 RED
risk_model_quant_v1.py                                                 Daily   22/01/2026 08:49:34 RED
ensemble_portfolio_quant_v1.py                                         Daily   22/01/2026 08:51:06 RED
ensemble_signal_quant_v1.py                                            Daily   22/01/2026 08:54:12 RED
risk_neutral_portfolio_quant_v1.py                                     Daily   22/01/2026 09:02:54 RED
quant_portfolio_weights_ensemble_risk_longshort.csv                    Daily   22/01/2026 09:03:10 RED
quant_portfolio_performance_ensemble_risk.csv                          Daily   22/01/2026 09:03:10 RED
quant_portfolio_weights_ensemble_risk_longonly.csv                     Daily   22/01/2026 09:03:10 RED
turnover_report_quant_v1.py                                            Daily   22/01/2026 09:43:22 RED
quant_turnover_timeseries_ensemble_risk.csv                            Daily   22/01/2026 09:43:44 RED
quant_turnover_summary_ensemble_risk.csv                               Daily   22/01/2026 09:43:44 RED
risk_report_quant_v1.py                                                Daily   22/01/2026 09:47:22 RED
quant_risk_summary_ensemble_risk.csv                                   Daily   22/01/2026 09:47:34 RED
quant_risk_timeseries_ensemble_risk.csv                                Daily   22/01/2026 09:47:34 RED
