strategy,bias,rmse,hit_rate,correlation,coverage
longonly,-130.39511980514848,154.8255398632372,0.6754716981132075,0.031068787994428998,1.0
longshort,-9.839653541932767,10.556063247569435,0.5708812260536399,0.005009330165251484,0.5015325670498084
