date,pnl,cumulative_return
2021-01-27,0.018968141381164247,0.018968141381164247
2021-01-28,-0.018534180716366075,0.00043396066479817197
2021-01-29,0.004295297154453747,0.004729257819251919
2021-02-01,-0.0015744011484648999,0.003154856670787019
2021-02-02,-0.007023404741582063,-0.0038685480707950437
2021-02-03,0.003253925583916685,-0.0006146224868783588
2021-02-04,0.003543255186112709,0.00292863269923435
2021-02-05,0.004583338461867955,0.007511971161102304
2021-02-08,0.008784145180670661,0.016296116341772963
2021-02-09,0.005264202059037206,0.021560318400810168
2021-02-10,-0.0004290147220628184,0.02113130367874735
2021-02-11,0.005364933770667758,0.026496237449415108
2021-02-12,0.0026597754118726285,0.029156012861287738
2021-02-15,0.0,0.029156012861287738
2021-02-16,0.004040884944074301,0.03319689780536204
2021-02-17,-0.0024191458142963323,0.030777751991065704
2021-02-18,-0.0025992194776203025,0.028178532513445403
2021-02-19,0.009348083136409514,0.03752661564985492
2021-02-22,0.004250129398332287,0.04177674504818721
2021-02-23,0.0002946262222028671,0.042071371270390075
2021-02-24,0.00823733151779303,0.050308702788183106
2021-02-25,-0.0032608046781705214,0.04704789811001259
2021-02-26,-0.0004112919382481086,0.04663660617176448
2021-03-01,0.0008029567489243514,0.047439562920688835
2021-03-02,0.002998834769465484,0.05043839769015432
2021-03-03,0.012451112026250575,0.06288950971640489
2021-03-04,0.0004999953264795947,0.06338950504288449
2021-03-05,0.004744724358489017,0.06813422940137351
2021-03-08,0.015496001669354097,0.0836302310707276
2021-03-09,-0.01703942366141776,0.06659080740930984
2021-03-10,0.005320779419682811,0.07191158682899265
2021-03-11,-0.008098978761934899,0.06381260806705776
2021-03-12,0.007813203279598054,0.07162581134665581
2021-03-15,-0.0007693245222484084,0.0708564868244074
2021-03-16,-0.0018582612953816505,0.06899822552902575
2021-03-17,0.0050127679229769045,0.07401099345200265
2021-03-18,0.008299576819224976,0.08231057027122762
2021-03-19,-0.0004826881892801388,0.08182788208194748
2021-03-22,-0.0054464146400951185,0.07638146744185237
2021-03-23,-0.007138239258672184,0.06924322818318018
2021-03-24,0.0025648651434538746,0.07180809332663406
2021-03-25,0.00428967636306614,0.0760977696897002
2021-03-26,0.0023863950388711076,0.07848416472857131
2021-03-29,0.001646645751696621,0.08013081048026793
2021-03-30,0.0006898054740109377,0.08082061595427888
2021-03-31,-0.005120351715881595,0.07570026423839728
2021-04-01,-0.0003804499956921543,0.07531981424270512
2021-04-02,0.0,0.07531981424270512
2021-04-05,0.0045971427788576765,0.07991695702156279
2021-04-06,-0.003752259076511508,0.07616469794505128
2021-04-07,0.002207726388347529,0.0783724243333988
2021-04-08,0.0010747294327829687,0.07944715376618178
2021-04-09,0.0005766939262342678,0.08002384769241605
2021-04-12,0.0004864115852323688,0.08051025927764842
2021-04-13,-0.0005053195580544963,0.08000493971959392
2021-04-14,-0.00018011613306144326,0.07982482358653248
2021-04-15,0.005127219872870047,0.08495204345940252
2021-04-16,0.0011845756728118572,0.08613661913221438
2021-04-19,0.0011671778241253196,0.08730379695633969
2021-04-20,0.0056787100673392045,0.0929825070236789
2021-04-21,-0.004924910852971153,0.08805759617070774
2021-04-22,0.005039021185405903,0.09309661735611365
2021-04-23,0.0009303511315685182,0.09402696848768216
2021-04-26,-0.0027746917122618603,0.0912522767754203
2021-04-27,0.002956544562542681,0.09420882133796299
2021-04-28,0.002238523187130638,0.09644734452509363
2021-04-29,0.003039759620638483,0.09948710414573211
2021-04-30,-0.00022037188538030086,0.0992667322603518
2021-05-03,0.0021823209567200597,0.10144905321707187
2021-05-04,0.0023856868395943608,0.10383474005666624
2021-05-05,0.002732455396296051,0.10656719545296228
2021-05-06,0.005057169965339166,0.11162436541830145
2021-05-07,0.0016047789240128524,0.1132291443423143
2021-05-10,0.003486917162336577,0.11671606150465089
2021-05-11,-0.004321969823769066,0.11239409168088182
2021-05-12,0.0012758801508669939,0.11366997183174882
2021-05-13,0.006790910305029408,0.12046088213677822
2021-05-14,-0.0026663130305520782,0.11779456910622614
2021-05-17,0.005182512266849936,0.12297708137307607
2021-05-18,-0.0035342261510841124,0.11944285522199195
2021-05-19,-0.0016448122163921853,0.11779804300559976
2021-05-20,-0.0026654403334797844,0.11513260267211997
2021-05-21,0.003631607481769427,0.1187642101538894
2021-05-24,5.72794903976406e-05,0.11882148964428704
2021-05-25,-0.0019887501382702118,0.11683273950601683
2021-05-26,0.001225143827419861,0.1180578833334367
2021-05-27,0.001400554051619138,0.11945843738505584
2021-05-28,0.002323512587991091,0.12178194997304692
2021-05-31,0.0,0.12178194997304692
2021-06-01,0.0033983510450836616,0.12518030101813057
2021-06-02,0.000655715533256881,0.12583601655138746
2021-06-03,0.003646112934812108,0.12948212948619955
2021-06-04,0.0019276642142073983,0.13140979370040695
2021-06-07,0.0047685728919750914,0.13617836659238206
2021-06-08,0.0019611664289257945,0.13813953302130785
2021-06-09,-0.0011326013765872948,0.13700693164472055
2021-06-10,0.0012935328457464293,0.13830046449046698
2021-06-11,-0.0009104444924462467,0.13739001999802075
2021-06-14,2.6497583010516553e-05,0.13741651758103127
2021-06-15,0.00020317007337239298,0.13761968765440366
2021-06-16,0.002223593499324564,0.13984328115372824
2021-06-17,0.005161311043460107,0.14500459219718834
2021-06-18,0.0023874528804949,0.14739204507768325
2021-06-21,-0.0013489915108525594,0.1460430535668307
2021-06-22,0.0022345375000722085,0.14827759106690291
