date,pnl,gross_exposure,net_exposure,turnover,cum_pnl,sharpe,drawdown,max_drawdown
2021-01-27,0.0,0.9789372725697847,-0.006348879409207101,1.4000663423989157,0.0,1.5974073637197037,0.0,-0.07788269517983487
2021-01-28,0.010561676852817404,0.9809574982664291,0.004323624720504193,1.4183087695691223,0.010561676852817404,1.5974073637197037,0.0,-0.07788269517983487
2021-01-29,0.0075324273001850205,0.987783564750609,0.0018440528706198593,1.4189475849237063,0.018094104153002423,1.5974073637197037,0.0,-0.07788269517983487
2021-02-01,-0.003023909450031728,0.9911478954832523,0.0038744962808711344,1.3952489681087634,0.015070194702970694,1.5974073637197037,-0.003023909450031729,-0.07788269517983487
2021-02-02,-0.01751211818308021,0.9739472043782094,0.00035716859683279173,1.4010097562746582,-0.0024419234801095167,1.5974073637197037,-0.02053602763311194,-0.07788269517983487
2021-02-03,-0.0010075850248195185,0.9693637529904753,0.002867516290141697,1.3492445096919141,-0.003449508504929035,1.5974073637197037,-0.02154361265793146,-0.07788269517983487
2021-02-04,-0.002509992641390684,0.9763880095167743,0.001983330574239061,1.3708375747631711,-0.005959501146319719,1.5974073637197037,-0.024053605299322142,-0.07788269517983487
2021-02-05,-2.7438405318572068e-05,0.9490946741498067,-7.233122811651767e-05,1.3331886501827577,-0.005986939551638292,1.5974073637197037,-0.024081043704640714,-0.07788269517983487
2021-02-08,-0.005196584523999646,0.9614886109262099,-0.0015151352400941014,1.2872411848717267,-0.011183524075637937,1.5974073637197037,-0.02927762822864036,-0.07788269517983487
2021-02-09,-0.009502575577237146,0.9562330314273191,-0.0006716522765063552,1.3061965787059986,-0.020686099652875083,1.5974073637197037,-0.0387802038058775,-0.07788269517983487
2021-02-10,-0.00038752604836316283,0.9489274798918815,-0.0015214031240854873,1.2782861894776514,-0.021073625701238247,1.5974073637197037,-0.03916772985424067,-0.07788269517983487
2021-02-11,-0.002261282879582498,0.9321862849874558,-0.0007087839064943403,1.25175161988407,-0.023334908580820744,1.5974073637197037,-0.04142901273382317,-0.07788269517983487
2021-02-12,0.004913891793413439,0.9415532021520899,0.0016553898313499617,1.3161985553737074,-0.018421016787407304,1.5974073637197037,-0.03651512094040973,-0.07788269517983487
2021-02-15,-0.0035850778495329196,0.9400942244106683,0.0014229895373563126,1.310711966716351,-0.022006094636940223,1.5974073637197037,-0.04010019878994264,-0.07788269517983487
2021-02-16,0.0027137751854277204,0.9299652724760465,-0.001751030599171335,1.2871001187124649,-0.019292319451512503,1.5974073637197037,-0.037386423604514926,-0.07788269517983487
2021-02-17,0.005077662379719733,0.9366438220693114,0.002495446263383907,1.3152963400655107,-0.01421465707179277,1.5974073637197037,-0.032308761224795195,-0.07788269517983487
2021-02-18,-0.005430446738262128,0.9641772081480816,-0.0016380250213629808,1.3401100042894665,-0.0196451038100549,1.5974073637197037,-0.037739207963057325,-0.07788269517983487
2021-02-19,0.008047582944317608,0.9674384816796259,-0.0013241329841764912,1.3277087496570936,-0.011597520865737291,1.5974073637197037,-0.029691625018739714,-0.07788269517983487
2021-02-22,-0.006086093594294896,0.962260843979281,-0.0006671928584238427,1.2936439738121988,-0.017683614460032186,1.5974073637197037,-0.03577771861303461,-0.07788269517983487
