date,portfolio_type,daily_return,cumulative_return,vt_scaling_factor,vt_daily_return,vt_cumulative_return,regime_score,regime_scaling_factor,ra_vt_daily_return,ra_vt_cumulative_return
2021-01-01,longonly,0.0,0.0,1.0,0.0,0.0,0.5,0.6000000000000001,0.0,0.0
2021-01-04,longonly,0.0208358705896334,0.0208358705896334,1.0,0.0208358705896334,0.0208358705896334,0.5,0.6000000000000001,0.012501522353780043,0.012501522353780043
2021-01-05,longonly,0.0274972449872453,0.0483331155768788,1.0,0.0274972449872453,0.0483331155768787,0.5,0.6000000000000001,0.016498346992347184,0.02899986934612723
2021-01-06,longonly,0.0489596211607898,0.0972927367376686,1.0,0.0489596211607898,0.0972927367376685,0.5,0.6000000000000001,0.029375772696473883,0.05837564204260111
2021-01-07,longonly,0.0352489338250297,0.1325416705626984,1.0,0.0352489338250297,0.1325416705626982,0.5,0.6000000000000001,0.021149360295017825,0.07952500233761893
2021-01-08,longonly,-0.0009788608929641,0.1315628096697342,1.0,-0.0009788608929641,0.1315628096697341,0.5,0.6000000000000001,-0.0005873165357784601,0.07893768580184048
2021-01-11,longonly,0.0050799738207043,0.1366427834904385,1.0,0.0050799738207043,0.1366427834904384,0.5,0.6000000000000001,0.0030479842924225806,0.08198567009426305
2021-01-12,longonly,0.0352442553931922,0.1718870388836307,1.0,0.0352442553931922,0.1718870388836306,0.5,0.6000000000000001,0.021146553235915324,0.10313222333017838
2021-01-13,longonly,0.008411023552402,0.1802980624360328,1.0,0.008411023552402,0.1802980624360326,0.5,0.6000000000000001,0.0050466141314412,0.10817883746161958
2021-01-14,longonly,0.0504463132401414,0.2307443756761742,1.0,0.0504463132401414,0.230744375676174,0.5,0.6000000000000001,0.030267787944084842,0.13844662540570443
2021-01-15,longonly,-0.027125443615837,0.2036189320603372,1.0,-0.027125443615837,0.203618932060337,0.5,0.6000000000000001,-0.0162752661695022,0.12217135923620222
2021-01-18,longonly,0.0,0.2036189320603372,1.0,0.0,0.203618932060337,0.5,0.6000000000000001,0.0,0.12217135923620222
2021-01-19,longonly,0.0380435464699457,0.2416624785302829,1.0,0.0380435464699457,0.2416624785302827,0.5,0.6000000000000001,0.02282612788196742,0.14499748711816965
2021-01-20,longonly,0.0015726226533015,0.2432351011835844,1.0,0.0015726226533015,0.2432351011835842,0.5,0.6000000000000001,0.0009435735919809001,0.14594106071015053
2021-01-21,longonly,0.013759351274889,0.2569944524584734,1.0,0.013759351274889,0.2569944524584732,0.5,0.6000000000000001,0.008255610764933401,0.15419667147508395
