date,portfolio_type,daily_return,cumulative_return
2021-01-01,longonly,0.0,0.0
2021-01-04,longonly,0.020835870589633453,0.020835870589633453
2021-01-05,longonly,0.027497244987245387,0.04833311557687884
2021-01-06,longonly,0.04895962116078981,0.09729273673766864
2021-01-07,longonly,0.03524893382502976,0.13254167056269842
2021-01-08,longonly,-0.0009788608929641599,0.13156280966973424
2021-01-11,longonly,0.005079973820704315,0.13664278349043857
2021-01-12,longonly,0.03524425539319222,0.17188703888363077
2021-01-13,longonly,0.008411023552402022,0.1802980624360328
2021-01-14,longonly,0.050446313240141406,0.2307443756761742
2021-01-15,longonly,-0.027125443615837005,0.2036189320603372
2021-01-18,longonly,0.0,0.2036189320603372
2021-01-19,longonly,0.038043546469945705,0.24166247853028291
2021-01-20,longonly,0.0015726226533015596,0.24323510118358446
2021-01-21,longonly,0.01375935127488902,0.25699445245847347
2021-01-22,longonly,0.012022354178252134,0.2690168066367256
2021-01-25,longonly,0.024180249149986278,0.2931970557867119
2021-01-26,longonly,0.022214447555577315,0.31541150334228923
2021-01-27,longonly,0.03229063621911954,0.3477021395614088
2021-01-28,longonly,-0.020633752032527517,0.32706838752888123
2021-01-29,longonly,0.005117374620726032,0.33218576214960727
2021-02-01,longonly,0.02358440030703435,0.3557701624566416
2021-02-02,longonly,0.026784563545429227,0.38255472600207086
2021-02-03,longonly,0.014232322814729964,0.3967870488168008
2021-02-04,longonly,0.04003942776841179,0.4368264765852126
2021-02-05,longonly,0.014995135533485615,0.4518216121186982
2021-02-08,longonly,0.05147477099545669,0.5032963831141549
2021-02-09,longonly,0.023404858463687075,0.526701241577842
2021-02-10,longonly,-0.0012480869117943829,0.5254531546660476
2021-02-11,longonly,0.03157016264274472,0.5570233173087923
2021-02-12,longonly,0.020401394135138463,0.5774247114439308
2021-02-15,longonly,0.0,0.5774247114439308
2021-02-16,longonly,0.014172291692755237,0.5915970031366861
2021-02-17,longonly,0.002198213445318454,0.5937952165820045
2021-02-18,longonly,0.00021025289079953328,0.594005469472804
2021-02-19,longonly,0.03769275200531232,0.6316982214781164
2021-02-22,longonly,0.029725553319410132,0.6614237747975265
2021-02-23,longonly,0.016611320918127236,0.6780350957156537
2021-02-24,longonly,0.03046087474376316,0.7084959704594168
2021-02-25,longonly,-0.03383512161791823,0.6746608488414987
2021-02-26,longonly,0.014375580960626223,0.6890364298021249
2021-03-01,longonly,0.030709446408219165,0.719745876210344
2021-03-02,longonly,-0.004917172610049474,0.7148287036002945
2021-03-03,longonly,0.013954722000635461,0.72878342560093
2021-03-04,longonly,0.019896130098708227,0.7486795556996382
2021-03-05,longonly,0.03560767519771567,0.7842872308973539
2021-03-08,longonly,0.023233584620070347,0.8075208155174243
