date,total_pnl,gross_exposure,net_exposure
2021-01-27,0.0,0.9789372725697847,-0.006348879409207101
2021-01-28,0.01056167685281742,0.9809574982664291,0.004323624720504193
2021-01-29,0.0075324273001849745,0.987783564750609,0.0018440528706198593
2021-02-01,-0.003023909450031696,0.9911478954832523,0.0038744962808711344
2021-02-02,-0.017512118183080502,0.9739472043782094,0.00035716859683279173
2021-02-03,-0.001007585024819505,0.9693637529904753,0.002867516290141697
2021-02-04,-0.00250999264139059,0.9763880095167743,0.001983330574239061
2021-02-05,-2.7438405318572065e-05,0.9490946741498067,-7.233122811651767e-05
2021-02-08,-0.00519658452399962,0.9614886109262099,-0.0015151352400941014
2021-02-09,-0.00950257557723605,0.9562330314273191,-0.0006716522765063552
2021-02-10,-0.0003875260483630974,0.9489274798918815,-0.0015214031240854873
2021-02-11,-0.0022612828795823686,0.9321862849874558,-0.0007087839064943403
2021-02-12,0.004913891793413424,0.9415532021520899,0.0016553898313499617
2021-02-15,0.0,0.9400942244106683,0.0014229895373563126
2021-02-16,0.0027137751854277893,0.9299652724760465,-0.001751030599171335
2021-02-17,0.0050776623797197384,0.9366438220693114,0.002495446263383907
2021-02-18,-0.005430446738262125,0.9641772081480816,-0.0016380250213629808
2021-02-19,0.008047582944317597,0.9674384816796259,-0.0013241329841764912
2021-02-22,-0.006086093594294857,0.962260843979281,-0.0006671928584238427
2021-02-23,0.0007797569804650602,0.9630502141940351,-0.0006582601529539101
2021-02-24,-0.0101274413453704,0.9266483442797206,0.0013978342869821504
2021-02-25,-0.007409942661796067,0.9336749991786399,0.0010945183388228127
2021-02-26,-0.0030812127256778614,0.919371113046432,0.0008824623984721811
2021-03-01,0.0039700782517706045,0.9280231840195086,0.001142204739595071
2021-03-02,-0.003248274380889007,0.9365129273362116,0.0006974874774005873
2021-03-03,-0.004648857849037608,0.9310238965093489,0.0005096430923975939
2021-03-04,0.0025461861357013987,0.942297302069196,0.001171595305788183
2021-03-05,0.0006565544513253661,0.964631846379192,-7.336420497029011e-05
2021-03-08,0.0027683297586198713,0.971230145729079,0.000663048572387009
2021-03-09,0.003936014693713866,0.9715830276386027,-0.0007247530433622451
2021-03-10,0.00015222933945550104,0.9524467718130406,-0.00038159949993080405
2021-03-11,-0.0008319779424657801,0.9559123283931388,-0.0008624310757113377
2021-03-12,-0.003345822010719826,0.9447658643975909,0.00029092383514463856
2021-03-15,-0.0012241851375296015,0.9488407440733169,-0.0007809835890886982
2021-03-16,-0.004419653484717421,0.9582714537196477,-0.0005311206274695598
2021-03-17,0.004786128783655419,0.9541612519162986,0.0007682389712287963
2021-03-18,-0.00218046434653291,0.9482881578291571,0.00010649933031444975
2021-03-19,-0.006998478388258969,0.9566451922643446,0.0003187027214730416
2021-03-22,-0.00851136409463038,0.9477559126026307,-0.0001810881738536418
2021-03-23,-0.005672580593917771,0.946324512793334,0.0001722992254214069
2021-03-24,0.0012599574733977584,0.9528496593732376,-0.00015672000952032632
2021-03-25,-0.0004810884424544062,0.9549441584308466,0.0007990355009528641
2021-03-26,0.009749899716408814,0.9579934188238874,0.0006885727789261472
2021-03-29,-0.00239865335203672,0.9655489199107425,9.625977456494345e-05
