date,portfolio_type,daily_return,rolling_vol_63,target_ann_vol,leverage_cap,applied_leverage,optimised_daily_return,optimised_cumulative_return
2021-01-28,longonly,-0.0003609703384722,0.0018271723105962,0.15,2.0,2.0,-0.0007219406769444,-0.0007219406769444
2021-01-29,longonly,-0.0073801063226645,0.0035500167428049,0.15,2.0,2.0,-0.014760212645329,-0.015482153322273401
2021-02-01,longonly,0.0205172252752223,0.0123836284910912,0.15,2.0,0.7630325661035766,0.015655311051078032,0.0001731577288046314
2021-02-02,longonly,0.0165390753774411,0.0124367279257703,0.15,2.0,0.7597747479585089,0.01256597182636209,0.012739129555166722
2021-02-03,longonly,0.0105122384848604,0.0113274386852022,0.15,2.0,0.834179030920264,0.008769088912103554,0.021508218467270274
2021-02-04,longonly,0.0254346557011582,0.0126518809055135,0.15,2.0,0.7468543132675948,0.018995982316886224,0.040504200784156494
2021-02-05,longonly,0.0171205485200268,0.0120683504131934,0.15,2.0,0.7829663128525579,0.0134048127487387,0.05390901353289519
2021-02-08,longonly,0.0228487195670862,0.0120823830064199,0.15,2.0,0.7820569684150844,0.017869000356801855,0.07177801388969704
2021-02-09,longonly,0.0058724915083199,0.011523040975353,0.15,2.0,0.8200189381814823,0.004815554251132255,0.0765935681408293
2021-02-10,longonly,0.0095612431719653,0.010938259889101,0.15,2.0,0.8638587783643609,0.008259563846178531,0.08485313198700782
2021-02-11,longonly,0.0121570426950808,0.0104376785365242,0.15,2.0,0.9052886417382693,0.011005632668983845,0.09585876465599166
2021-02-12,longonly,0.0119605847167612,0.009998294903397,0.15,2.0,0.945072326484416,0.011303617624383457,0.10716238228037511
2021-02-15,longonly,0.0,0.0100388821359013,0.15,2.0,0.9412513960532051,0.0,0.10716238228037511
2021-02-16,longonly,0.0079404559539787,0.0096902332766973,0.15,2.0,0.9751170643077851,0.0077428740991089835,0.1149052563794841
2021-02-17,longonly,-0.000200210635474,0.0097017787170892,0.15,2.0,0.9739566424645968,-0.00019499647831196034,0.11471025990117213
2021-02-18,longonly,-0.0040393515930483,0.0099390712046004,0.15,2.0,0.9507037056799698,-0.0038402265280553078,0.11087003337311682
2021-02-19,longonly,0.0235559163727984,0.0102696451778532,0.15,2.0,0.9201011000465696,0.02167382456721681,0.13254385794033363
2021-02-22,longonly,0.0097817429629342,0.0099806972923401,0.15,2.0,0.9467386444514857,0.009260754073101184,0.1418046120134348
2021-02-23,longonly,0.0076821980044541,0.0097222173682441,0.15,2.0,0.9719091301223658,0.007466398379936758,0.14927101039337157
2021-02-24,longonly,0.0238641797584777,0.0099928708229076,0.15,2.0,0.9455853070340496,0.022565617744035888,0.17183662813740747
2021-02-25,longonly,-0.0225585842927505,0.0119727421822472,0.15,2.0,0.7892186836898167,-0.017803656201430325,0.15403297193597715
2021-02-26,longonly,0.0015821940432138,0.0117870774497484,0.15,2.0,0.80165010075779,0.001268366014160718,0.15530133795013787
2021-03-01,longonly,0.0243060478755106,0.0119855636731501,0.15,2.0,0.7883744213381015,0.01916226642887186,0.17446360437900973
2021-03-02,longonly,-0.0003635745035742,0.0118787803589322,0.15,2.0,0.795461448037084,-0.00028920950108249707,0.17417439487792724
2021-03-03,longonly,0.0063984241442672,0.0116463243880618,0.15,2.0,0.8113385399874833,0.005191288103430412,0.17936568298135766
2021-03-04,longonly,-0.0142447234859672,0.0122270867866465,0.15,2.0,0.7728015667272671,-0.011008344627552149,0.1683573383538055
2021-03-05,longonly,0.0300906983288537,0.0127282988896876,0.15,2.0,0.7423703597097566,0.022338442542308892,0.1906957808961144
2021-03-08,longonly,0.0213003729750245,0.012725894377801,0.15,2.0,0.7425106279141899,0.01581575331249188,0.20651153420860627
2021-03-09,longonly,-0.0005574492807431,0.0126222065949598,0.15,2.0,0.7486101383417242,-0.0004173121831755867,0.20609422202543068
2021-03-10,longonly,0.0167809401276792,0.0124978819989852,0.15,2.0,0.7560570523867904,0.012687348129212348,0.21878157015464303
2021-03-11,longonly,0.0121234529715359,0.0123085831207548,0.15,2.0,0.767684771880651,0.009306990228859337,0.22808856038350236
2021-03-12,longonly,0.0141568998652727,0.0121490515015208,0.15,2.0,0.7777653937879722,0.01101074679853071,0.23909930718203307
2021-03-15,longonly,0.0123482075152616,0.0119767305842782,0.15,2.0,0.7889558639345604,0.009742190728246447,0.2488414979102795
2021-03-16,longonly,-0.0067893254105294,0.0121037385132169,0.15,2.0,0.7806771283857916,-0.005300271065168778,0.24354122684511073
2021-03-17,longonly,0.0131051229704322,0.0119520008406621,0.15,2.0,0.7905882831838248,0.0103607566701069,0.25390198351521764
2021-03-18,longonly,-0.0019285937046657,0.0119169687221207,0.15,2.0,0.7929123626624028,-0.0015292057909823166,0.25237277772423533
2021-03-19,longonly,0.0066301974989981,0.0117589298284708,0.15,2.0,0.8035690290754544,0.005327821366848408,0.2577005990910837
2021-03-22,longonly,0.0037373309470225,0.0116281568991955,0.15,2.0,0.8126061513570066,0.0030369781172073906,0.2607375772082911
2021-03-23,longonly,-0.013874712664647,0.012005033705559,0.15,2.0,0.78709581805299,-0.010920728315030511,0.24981684889326058
2021-03-24,longonly,0.001162733314588,0.011899482292289,0.15,2.0,0.7940775567483144,0.0009233004295979082,0.2507401493228585
2021-03-25,longonly,0.017131790932843,0.011844099509123,0.15,2.0,0.7977906482423959,0.013667582593866018,0.2644077319167245
2021-03-26,longonly,0.0280536768723853,0.0120998848223567,0.15,2.0,0.7809257661504146,0.021907839104903657,0.2863155710216282
2021-03-29,longonly,-0.0030386340387161,0.0120809646958572,0.15,2.0,0.7821487822467493,-0.002376663913075319,0.28393890710855285
2021-03-30,longonly,0.0052112704821984,0.0119506012715303,0.15,2.0,0.7906808712412762,0.004120451885138576,0.28805935899369145
2021-03-31,longonly,0.0015496190363118,0.0118555928134171,0.15,2.0,0.7970172368383823,0.0012350730824733877,0.28929443207616484
2021-04-01,longonly,0.0182053406696318,0.0118222436475567,0.15,2.0,0.7992655291944963,0.014550901244479346,0.3038453333206442
2021-04-02,longonly,0.0,0.0117541618648353,0.15,2.0,0.8038949891867158,0.0,0.3038453333206442
2021-04-05,longonly,0.0149631910305194,0.0116743173198658,0.15,2.0,0.8093930948023348,0.012111103496310635,0.3159564368169548
2021-04-06,longonly,0.0013736565882215,0.0115934325951598,0.15,2.0,0.815040045100675,0.0011195851276168906,0.3170760219445717
2021-04-07,longonly,-0.0021068054134191,0.0115629105938078,0.15,2.0,0.8171914630465873,-0.0017216633981464245,0.31535435854642524
2021-04-08,longonly,0.0077172239969888,0.0114489883335476,0.15,2.0,0.825322862592416,0.0063692014004616835,0.32172355994688695
2021-04-09,longonly,0.0100074726848991,0.0113426149665403,0.15,2.0,0.833062909488219,0.008336854311505923,0.3300604142583929
2021-04-12,longonly,0.002265964361275,0.0112602245130322,0.15,2.0,0.839158385722647,0.001901502995512578,0.33196191725390545
2021-04-13,longonly,0.0088985842701897,0.0111566698165819,0.15,2.0,0.8469473400733508,0.007536632278055726,0.3394985495319612
2021-04-14,longonly,0.0002508252130582,0.011099629623412,0.15,2.0,0.8512997411463217,0.0002135274389494166,0.3397120769709106
2021-04-15,longonly,0.0165482267953545,0.011064073821945,0.15,2.0,0.854035500602759,0.014132773155258571,0.3538448501261692
2021-04-16,longonly,0.0061688339712657,0.0109685175767213,0.15,2.0,0.8614757426550254,0.005314300826711668,0.35915915095288087
2021-04-19,longonly,-0.0031337392925442,0.0109647676954581,0.15,2.0,0.8617703619151691,-0.0027005636442836013,0.35645858730859725
2021-04-20,longonly,-0.0027545031113964,0.0109521263034314,0.15,2.0,0.8627650525058489,-0.0023764890215314393,0.3540820982870658
2021-04-21,longonly,0.0141722090937417,0.0108955214956087,0.15,2.0,0.8672473207490824,0.01229081036564327,0.3663729086527091
2021-04-22,longonly,0.0031871324448123,0.0108194883905694,0.15,2.0,0.8733418331930387,0.0027834560919813853,0.3691563647446905
2021-04-23,longonly,0.0159754586385916,0.0107861874501732,0.15,2.0,0.8760381616656356,0.013995111417517185,0.3831514761622077
2021-04-26,longonly,0.0064385170622024,0.0107036601813992,0.15,2.0,0.8827925835735452,0.005683875111724008,0.3888353512739317
2021-04-27,longonly,0.0092150652550103,0.0106555113317819,0.15,2.0,0.8867816410693568,0.008171750689399244,0.39700710196333094
2021-04-28,longonly,0.0084725291903251,0.0104761471447172,0.15,2.0,0.9019644049191862,0.007641919749312014,0.40464902171264294
2021-04-29,longonly,0.0100110901996061,0.0103579903999858,0.15,2.0,0.9122533870318739,0.009132650942472263,0.41378167265511523
2021-04-30,longonly,-0.0047086791044698,0.0104184716188868,0.15,2.0,0.9069575817724698,-0.004270572213932488,0.4095111004411827
2021-05-03,longonly,0.0112362616158605,0.0104221570818514,0.15,2.0,0.9066368651922229,0.010187209007883466,0.41969830944906616
2021-05-04,longonly,0.00839918982563,0.0101696798698536,0.15,2.0,0.9291454545428781,0.0078040690483269035,0.4275023784973931
2021-05-05,longonly,0.0101690539979957,0.0100991065541287,0.15,2.0,0.9356383928207699,0.009514557339192322,0.4370169358365854
2021-05-06,longonly,0.0130096702213682,0.0099280019057919,0.15,2.0,0.9517636997750937,0.01238213186274326,0.4493990676993287
2021-05-07,longonly,0.0175793632409831,0.0100147026670468,0.15,2.0,0.9435239506733248,0.016586550255453796,0.4659856179547825
2021-05-10,longonly,-0.000476804755025,0.0100569443583214,0.15,2.0,0.9395609131925063,-0.00044798711104581827,0.46553763084373667
2021-05-11,longonly,-0.0107331318280751,0.0102815763206713,0.15,2.0,0.919033378785806,-0.009864106408909334,0.45567352443482734
2021-05-12,longonly,-0.0193346305599415,0.0107686489070131,0.15,2.0,0.8774649361144025,-0.016965460369074644,0.4387080640657527
2021-05-13,longonly,0.0194394247133285,0.0108655924857716,0.15,2.0,0.869636132369607,0.016905226123189156,0.45561329018894187
2021-05-14,longonly,0.0213489410877809,0.0110238460431243,0.15,2.0,0.8571520128516491,0.018299287825642673,0.47391257801458453
2021-05-17,longonly,0.0063730021955793,0.0109881268752548,0.15,2.0,0.8599383618794962,0.005480389068320896,0.4793929670829054
2021-05-18,longonly,-0.0084046252561753,0.0110713283331576,0.15,2.0,0.8534758920419213,-0.007173145037792276,0.47221982204511315
2021-05-19,longonly,-0.0040458409901157,0.0109420271880199,0.15,2.0,0.8635613550271773,-0.0034938319276488104,0.46872599011746435
2021-05-20,longonly,0.0121302676852142,0.0109579337277147,0.15,2.0,0.8623078091202612,0.010460024551679359,0.47918601466914373
2021-05-21,longonly,0.0058760854233424,0.0109568250876868,0.15,2.0,0.8623950596646398,0.005067507039257889,0.48425352170840164
2021-05-24,longonly,0.0111958806149807,0.0107443592984944,0.15,2.0,0.8794486076573015,0.009846201618342149,0.4940997233267438
2021-05-25,longonly,-0.0025160405585754,0.0101616219590399,0.15,2.0,0.9298822435354069,-0.0023396214394341714,0.4917601018873096
2021-05-26,longonly,0.0092085105158484,0.0101479339317568,0.15,2.0,0.9311365139716533,0.00857438038059839,0.500334482267908
2021-05-27,longonly,0.009189176510606,0.0098978175648784,0.15,2.0,0.9546661941679025,0.008772596166917317,0.5091070784348253
2021-05-28,longonly,0.0038145865328312,0.0098660824125247,0.15,2.0,0.9577369649006086,0.003653370528304489,0.5127604489631298
2021-05-31,longonly,0.0,0.0098991049745061,0.15,2.0,0.9545420368372373,0.0,0.5127604489631298
2021-06-01,longonly,0.0116918604996389,0.0095641082296717,0.15,2.0,0.9879762543794459,0.011551280543160238,0.52431172950629
2021-06-02,longonly,0.0026629461683775,0.0090960247397958,0.15,2.0,1.0388177358280586,0.0027663157092659187,0.5270780452155559
2021-06-03,longonly,0.0026118318137736,0.0089011584260456,0.15,2.0,1.0615597850254772,0.002772615618752205,0.5298506608343081
2021-06-04,longonly,0.0126012484864894,0.0088994192610599,0.15,2.0,1.0617672398665385,0.013379592824372247,0.5432302536586804
2021-06-07,longonly,0.0071262041715695,0.0087967982910148,0.15,2.0,1.0741535172952827,0.007654637275855695,0.5508848909345361
2021-06-08,longonly,0.0077616605858519,0.0087653028825725,0.15,2.0,1.0780131561703081,0.00836717222527689,0.559252063159813
2021-06-09,longonly,-0.0013728517284376,0.0087499011888774,0.15,2.0,1.0799106894192239,-0.0014825572565274217,0.5577695059032856
2021-06-10,longonly,0.006946741519839,0.0087103826396906,0.15,2.0,1.0848101875770546,0.007535895971185859,0.5653054018744714
2021-06-11,longonly,0.0064465385699705,0.0085640366676883,0.15,2.0,1.1033478944434845,0.007112774757625663,0.572418176632097
2021-06-14,longonly,0.0029551769953743,0.008520800813162,0.15,2.0,1.108946451445588,0.0032771330424139645,0.575695309674511
2021-06-15,longonly,0.0009379423887795,0.0084870293215931,0.15,2.0,1.1133591586858083,0.0010442667488673014,0.5767395764233783
