date,market_return,market_level,trend_lookback_days,vol_lookback_days,trend_regime,vol_regime,regime_score
2021-01-01,0.0,1.0,60,60,unknown,unknown,0.5
2021-01-04,-0.015709121800831782,0.9842908781991682,60,60,unknown,unknown,0.5
2021-01-05,0.009559077781022815,0.9936997912630253,60,60,unknown,unknown,0.5
2021-01-06,0.01970573550159051,1.0132813765176403,60,60,unknown,unknown,0.5
2021-01-07,0.01045921625256862,1.0238795055593386,60,60,unknown,unknown,0.5
2021-01-08,0.0024129979213310775,1.0263501246779467,60,60,unknown,unknown,0.5
2021-01-11,-0.001320553799177694,1.0249947741215166,60,60,unknown,unknown,0.5
2021-01-12,0.006876305154799552,1.032042950970451,60,60,unknown,unknown,0.5
2021-01-13,-0.0020461430878560313,1.0299312434199523,60,60,unknown,unknown,0.5
2021-01-14,0.0030883913191657834,1.033112074131468,60,60,unknown,unknown,0.5
2021-01-15,-0.006396009346371819,1.0265042796494737,60,60,unknown,unknown,0.5
2021-01-18,0.0,1.0265042796494737,60,60,unknown,unknown,0.5
2021-01-19,0.004902470116671591,1.0315366862050908,60,60,unknown,unknown,0.5
2021-01-20,0.007331394842479336,1.039099288946163,60,60,unknown,unknown,0.5
2021-01-21,-0.004967286966319254,1.0339377845914692,60,60,unknown,unknown,0.5
2021-01-22,-0.0030098657974220893,1.030825770616965,60,60,unknown,unknown,0.5
2021-01-25,-0.0006124431513016668,1.0301944484335654,60,60,unknown,unknown,0.5
2021-01-26,-0.006004276475457372,1.024008876141689,60,60,unknown,unknown,0.5
2021-01-27,-0.023463637788304785,0.9999819027798914,60,60,unknown,unknown,0.5
2021-01-28,0.012352666120441572,1.0123343453514153,60,60,unknown,unknown,0.5
2021-01-29,-0.016887080276172788,0.9952389739951392,60,60,unknown,unknown,0.5
2021-02-01,0.014117743316871946,1.0092895023689497,60,60,unknown,unknown,0.5
2021-02-02,0.014095519916447263,1.0235159626510522,60,60,unknown,unknown,0.5
2021-02-03,0.0020343138090018736,1.025598115307607,60,60,unknown,unknown,0.5
2021-02-04,0.012318132027175365,1.0382315682987884,60,60,unknown,unknown,0.5
2021-02-05,0.005463648303599716,1.0439041004456677,60,60,unknown,unknown,0.5
2021-02-08,0.011018095767532956,1.0554059357964984,60,60,unknown,unknown,0.5
2021-02-09,0.00073554394074451,1.0561822332375994,60,60,unknown,unknown,0.5
2021-02-10,0.002422616186006507,1.0587409574112134,60,60,unknown,unknown,0.5
2021-02-11,0.001663417128992391,1.0605020852549372,60,60,unknown,unknown,0.5
2021-02-12,0.004674593597894434,1.0654595015132236,60,60,unknown,unknown,0.5
2021-02-15,0.0,1.0654595015132236,60,60,unknown,unknown,0.5
2021-02-16,-0.0005542630120188136,1.0648689567207308,60,60,unknown,unknown,0.5
2021-02-17,-0.0006005525685722734,1.0642294469335793,60,60,unknown,unknown,0.5
2021-02-18,-0.004876397040876636,1.0590398416077387,60,60,unknown,unknown,0.5
2021-02-19,0.006313074345719844,1.0657256388628877,60,60,unknown,unknown,0.5
2021-02-22,-0.0027499465987140988,1.0627949502671343,60,60,unknown,unknown,0.5
2021-02-23,0.001340117277808998,1.0642192201427554,60,60,unknown,unknown,0.5
2021-02-24,0.012696351281133897,1.0777309212018222,60,60,unknown,unknown,0.5
2021-02-25,-0.023085004406847933,1.0528514981364818,60,60,unknown,unknown,0.5
2021-02-26,-0.005420804962231701,1.0471441955108904,60,60,unknown,unknown,0.5
2021-03-01,0.021693672451665418,1.0698605986979663,60,60,unknown,unknown,0.5
2021-03-02,-0.005237908349208037,1.0642567669355576,60,60,unknown,unknown,0.5
2021-03-03,-0.008458891896205955,1.055254333994244,60,60,unknown,unknown,0.5
2021-03-04,-0.015307818883249452,1.039100691773696,60,60,unknown,unknown,0.5
2021-03-05,0.020932284609652317,1.0608514431919895,60,60,unknown,unknown,0.5
2021-03-08,0.0023607929470798057,1.0633558937969767,60,60,unknown,unknown,0.5
2021-03-09,0.007286346418319346,1.071103873205143,60,60,unknown,unknown,0.5
2021-03-10,0.00918730037485547,1.0809444262209498,60,60,unknown,unknown,0.5
2021-03-11,0.009279698768964855,1.090975264882272,60,60,unknown,unknown,0.5
2021-03-12,0.005030743118018829,1.096463681188007,60,60,unknown,unknown,0.5
