portfolio_type,avg_daily_turnover,median_daily_turnover,cost_per_unit,avg_daily_return,avg_cost_adjusted_return,total_return,total_cost_adjusted_return
longonly,0.28898014529828164,0.27722772277227714,0.001,0.005468485455136975,0.005179505309838694,7.114499577133205,6.73853640810014
longshort,0.5835275782826284,0.5686274509803892,0.001,0.009645650048611312,0.009062122470328683,12.548990713243317,11.789821333897617
