date,portfolio_type,daily_return,cumulative_return,optimised_daily_return,optimised_cumulative_return,applied_leverage
2021-01-27,longonly,-0.00294498220091,-0.00294498220091,,,
2021-01-28,longonly,-0.0003609703384722,-0.0033059525393822,-0.0007219406769444,-0.0007219406769444,2.0
2021-01-29,longonly,-0.0073801063226645,-0.0106860588620468,-0.014760212645329,-0.0154821533222734,2.0
2021-02-01,longonly,0.0205172252752223,0.0098311664131755,0.015655311051078,0.0001731577288046,0.7630325661035766
2021-02-02,longonly,0.0165390753774411,0.0263702417906166,0.012565971826362,0.0127391295551667,0.7597747479585089
2021-02-03,longonly,0.0105122384848604,0.0368824802754771,0.0087690889121035,0.0215082184672702,0.834179030920264
2021-02-04,longonly,0.0254346557011582,0.0623171359766354,0.0189959823168862,0.0405042007841564,0.7468543132675948
2021-02-05,longonly,0.0171205485200268,0.0794376844966623,0.0134048127487387,0.0539090135328951,0.7829663128525579
2021-02-08,longonly,0.0228487195670862,0.1022864040637485,0.0178690003568018,0.071778013889697,0.7820569684150844
2021-02-09,longonly,0.0058724915083199,0.1081588955720685,0.0048155542511322,0.0765935681408293,0.8200189381814823
2021-02-10,longonly,0.0095612431719653,0.1177201387440339,0.0082595638461785,0.0848531319870078,0.8638587783643609
2021-02-11,longonly,0.0121570426950808,0.1298771814391148,0.0110056326689838,0.0958587646559916,0.9052886417382692
2021-02-12,longonly,0.0119605847167612,0.141837766155876,0.0113036176243834,0.1071623822803751,0.945072326484416
2021-02-15,longonly,0.0,0.141837766155876,0.0,0.1071623822803751,0.9412513960532052
2021-02-16,longonly,0.0079404559539787,0.1497782221098547,0.0077428740991089,0.1149052563794841,0.9751170643077852
2021-02-17,longonly,-0.000200210635474,0.1495780114743807,-0.0001949964783119,0.1147102599011721,0.9739566424645968
2021-02-18,longonly,-0.0040393515930483,0.1455386598813323,-0.0038402265280553,0.1108700333731168,0.9507037056799698
2021-02-19,longonly,0.0235559163727984,0.1690945762541308,0.0216738245672168,0.1325438579403336,0.9201011000465696
2021-02-22,longonly,0.0097817429629342,0.1788763192170651,0.0092607540731011,0.1418046120134348,0.9467386444514856
2021-02-23,longonly,0.0076821980044541,0.1865585172215192,0.0074663983799367,0.1492710103933715,0.9719091301223658
2021-02-24,longonly,0.0238641797584777,0.210422696979997,0.0225656177440358,0.1718366281374074,0.9455853070340496
2021-02-25,longonly,-0.0225585842927505,0.1878641126872465,-0.0178036562014303,0.1540329719359771,0.7892186836898167
2021-02-26,longonly,0.0015821940432138,0.1894463067304603,0.0012683660141607,0.1553013379501378,0.80165010075779
2021-03-01,longonly,0.0243060478755106,0.213752354605971,0.0191622664288718,0.1744636043790097,0.7883744213381015
2021-03-02,longonly,-0.0003635745035742,0.2133887801023967,-0.0002892095010824,0.1741743948779272,0.795461448037084
2021-03-03,longonly,0.0063984241442672,0.219787204246664,0.0051912881034304,0.1793656829813576,0.8113385399874833
2021-03-04,longonly,-0.0142447234859672,0.2055424807606967,-0.0110083446275521,0.1683573383538055,0.7728015667272671
2021-03-05,longonly,0.0300906983288537,0.2356331790895506,0.0223384425423088,0.1906957808961144,0.7423703597097566
2021-03-08,longonly,0.0213003729750245,0.2569335520645751,0.0158157533124918,0.2065115342086062,0.7425106279141899
2021-03-09,longonly,-0.0005574492807431,0.256376102783832,-0.0004173121831755,0.2060942220254306,0.7486101383417242
2021-03-10,longonly,0.0167809401276792,0.2731570429115112,0.0126873481292123,0.218781570154643,0.7560570523867904
2021-03-11,longonly,0.0121234529715359,0.2852804958830471,0.0093069902288593,0.2280885603835023,0.767684771880651
2021-03-12,longonly,0.0141568998652727,0.2994373957483199,0.0110107467985307,0.239099307182033,0.7777653937879722
2021-03-15,longonly,0.0123482075152616,0.3117856032635816,0.0097421907282464,0.2488414979102795,0.7889558639345604
2021-03-16,longonly,-0.0067893254105294,0.3049962778530521,-0.0053002710651687,0.2435412268451107,0.7806771283857916
2021-03-17,longonly,0.0131051229704322,0.3181014008234844,0.0103607566701069,0.2539019835152176,0.7905882831838248
2021-03-18,longonly,-0.0019285937046657,0.3161728071188186,-0.0015292057909823,0.2523727777242353,0.7929123626624028
2021-03-19,longonly,0.0066301974989981,0.3228030046178167,0.0053278213668484,0.2577005990910837,0.8035690290754544
