date,portfolio_type,gross_turnover,cost_per_unit,daily_return,cost_adjusted_return
2021-01-27,longonly,1.0,0.001,-0.00294498220091,-0.00394498220091
2021-01-28,longonly,0.42000000000000004,0.001,-0.0003609703384722,-0.0007809703384722001
2021-01-29,longonly,0.36,0.001,-0.0073801063226645,-0.0077401063226645
2021-02-01,longonly,0.5,0.001,0.0205172252752223,0.0200172252752223
2021-02-02,longonly,0.6000000000000001,0.001,0.0165390753774411,0.0159390753774411
2021-02-03,longonly,0.46,0.001,0.0105122384848604,0.0100522384848604
2021-02-04,longonly,0.5800000000000001,0.001,0.0254346557011582,0.0248546557011582
2021-02-05,longonly,0.44000000000000006,0.001,0.0171205485200268,0.0166805485200268
2021-02-08,longonly,0.42000000000000004,0.001,0.0228487195670862,0.0224287195670862
2021-02-09,longonly,0.26,0.001,0.0058724915083199,0.0056124915083199
2021-02-10,longonly,0.24,0.001,0.0095612431719653,0.0093212431719653
2021-02-11,longonly,0.34,0.001,0.0121570426950808,0.0118170426950808
2021-02-12,longonly,0.32,0.001,0.0119605847167612,0.0116405847167612
2021-02-15,longonly,0.14,0.001,0.0,-0.00014000000000000001
2021-02-16,longonly,0.3,0.001,0.0079404559539787,0.007640455953978701
2021-02-17,longonly,0.32,0.001,-0.000200210635474,-0.000520210635474
2021-02-18,longonly,0.36,0.001,-0.0040393515930483,-0.0043993515930483
2021-02-19,longonly,0.46,0.001,0.0235559163727984,0.0230959163727984
2021-02-22,longonly,0.52,0.001,0.0097817429629342,0.009261742962934201
2021-02-23,longonly,0.26,0.001,0.0076821980044541,0.0074221980044541
2021-02-24,longonly,0.32,0.001,0.0238641797584777,0.0235441797584777
2021-02-25,longonly,0.34,0.001,-0.0225585842927505,-0.0228985842927505
2021-02-26,longonly,0.2,0.001,0.0015821940432138,0.0013821940432138
2021-03-01,longonly,0.38,0.001,0.0243060478755106,0.0239260478755106
2021-03-02,longonly,0.32,0.001,-0.0003635745035742,-0.0006835745035742001
2021-03-03,longonly,0.38,0.001,0.0063984241442672,0.0060184241442672
2021-03-04,longonly,0.32,0.001,-0.0142447234859672,-0.0145647234859672
2021-03-05,longonly,0.4,0.001,0.0300906983288537,0.0296906983288537
2021-03-08,longonly,0.38,0.001,0.0213003729750245,0.0209203729750245
2021-03-09,longonly,0.34,0.001,-0.0005574492807431,-0.0008974492807431
2021-03-10,longonly,0.44,0.001,0.0167809401276792,0.016340940127679202
2021-03-11,longonly,0.3,0.001,0.0121234529715359,0.0118234529715359
2021-03-12,longonly,0.4,0.001,0.0141568998652727,0.0137568998652727
2021-03-15,longonly,0.3,0.001,0.0123482075152616,0.0120482075152616
2021-03-16,longonly,0.4,0.001,-0.0067893254105294,-0.0071893254105294
2021-03-17,longonly,0.5,0.001,0.0131051229704322,0.0126051229704322
2021-03-18,longonly,0.42000000000000004,0.001,-0.0019285937046657,-0.0023485937046657003
2021-03-19,longonly,0.46,0.001,0.0066301974989981,0.0061701974989980994
