date,portfolio_type,daily_return,cumulative_return
2021-01-01,longonly,0.0,0.0
2021-01-04,longonly,-0.0018939325427673663,-0.0018939325427673663
2021-01-05,longonly,0.02516259610759229,0.023268663564824925
2021-01-06,longonly,0.04291689851804742,0.06618556208287235
2021-01-07,longonly,0.020829183616985783,0.08701474569985812
2021-01-08,longonly,0.0009295864960614844,0.08794433219591961
2021-01-11,longonly,0.00609165970372608,0.09403599189964569
2021-01-12,longonly,0.02450130613302575,0.11853729803267143
2021-01-13,longonly,-0.0027193195203877164,0.11581797851228373
2021-01-14,longonly,0.023099226873359767,0.1389172053856435
2021-01-15,longonly,-0.014407100041180006,0.12451010534446348
2021-01-18,longonly,0.0,0.12451010534446348
2021-01-19,longonly,0.017185480013103705,0.14169558535756718
2021-01-20,longonly,0.009472120838140684,0.15116770619570788
2021-01-21,longonly,0.005067759147759922,0.1562354653434678
2021-01-22,longonly,0.007369190124431478,0.16360465546789926
2021-01-25,longonly,0.009760280237595526,0.1733649357054948
2021-01-26,longonly,0.008822525276345607,0.1821874609818404
2021-01-27,longonly,-0.001632320310023908,0.1805551406718165
2021-01-28,longonly,-0.0022345801800986178,0.17832056049171788
2021-01-29,longonly,-0.006316844548389543,0.17200371594332833
2021-02-01,longonly,0.02202003573310292,0.19402375167643127
2021-02-02,longonly,0.01646813848503395,0.21049189016146522
2021-02-03,longonly,0.009600042865617352,0.22009193302708258
2021-02-04,longonly,0.023771488194246196,0.24386342122132876
2021-02-05,longonly,0.015175767118915506,0.25903918834024425
2021-02-08,longonly,0.027722408091951638,0.2867615964321959
2021-02-09,longonly,0.004797667537752417,0.2915592639699483
2021-02-10,longonly,0.011320780804472018,0.3028800447744203
2021-02-11,longonly,0.014452854739767537,0.31733289951418786
2021-02-12,longonly,0.013012176348122878,0.33034507586231077
2021-02-15,longonly,0.0,0.33034507586231077
2021-02-16,longonly,0.013583625228922196,0.34392870109123297
2021-02-17,longonly,0.0008289951679614424,0.3447576962591944
2021-02-18,longonly,-0.006562925730052264,0.3381947705291421
