date,low_vol_252,volume_zscore,size_factor,vol_factor,liquidity_factor,sector_basic materials,sector_communication services,sector_consumer cyclical,sector_consumer defensive,sector_energy,sector_financial services,sector_healthcare,sector_industrials,sector_real estate,sector_technology,sector_unknown,sector_utilities,factor_returns_run_date
2021-01-27 00:00:00+00:00,3.250572279749554e-18,0.0010545769601118418,0.0014927607756981861,-2.4247606957709848e-05,0.0014927607756982022,-0.005981494205611938,0.0015950522967613451,-0.008293720803703464,0.009881792912239317,0.010376623889828867,-0.007963415921605268,-0.011249818583838323,-0.004380808468706354,0.009321210517984489,-0.006506208644010155,-0.011008784689843315,-0.0014797091816184586,2026-01-25 21:59:57 UTC
2021-01-28 00:00:00+00:00,-3.463138012202441e-18,0.0001701798524976236,-5.135955770867472e-05,1.0673391716945414e-05,-5.1359557708682846e-05,0.005829492787977889,-0.009677647557638875,0.0003982383376145155,-0.014946792425933924,0.003627764713852585,0.008833864356867657,0.004158261282083799,0.0030073788442030102,-0.003074792347831243,0.0025999816531115418,0.008291480518146334,0.0022607623441840757,2026-01-25 21:59:57 UTC
2021-01-29 00:00:00+00:00,-4.349824820439266e-18,-0.00022006071524111035,0.00011377857079165821,-1.6165843955457242e-05,0.00011377857079165462,-0.006051980592778739,-0.0018872110064250052,-0.0014595971501750057,-0.0035503051385373133,-0.015234382370443228,-0.0050050574311504455,0.011775060664508967,-0.0036343739128505124,0.0035035017619166648,0.000528349994959183,-0.007191349477382715,0.01108033881432268,2026-01-25 21:59:57 UTC
2021-02-01 00:00:00+00:00,-6.344803313945382e-18,0.0010303376145644595,0.0006986491439264989,1.423158177289734e-05,0.0006986491439265085,0.0075871130186023605,0.0038082731599725418,-0.0021887995173569042,-0.012833668113624273,-0.0010333983434330355,0.001183319278473078,-0.008557177039816182,-0.0003167136252854814,0.0035766459543904107,0.009574377772719446,0.02194001293237543,-0.007662245962412185,2026-01-25 21:59:57 UTC
2021-02-02 00:00:00+00:00,-1.514871023275894e-18,0.0011389572323943617,0.0008310666802969149,1.2798918753790215e-05,0.0008310666802969256,-0.0015393493875851913,-0.0039060504686356324,0.007497709780502697,-0.005186065485789898,-0.0004885559512851247,0.008749251174952581,-0.006859127702649729,0.0023146859915044262,-0.010258464430408655,0.006137464266015144,0.0207696466754285,-0.003671248863812517,2026-01-25 21:59:57 UTC
2021-02-03 00:00:00+00:00,-6.844198970668875e-19,0.00033589946934599297,0.00023568836766717227,4.244218031064331e-06,0.0002356883676671597,-0.0008460019920197587,-0.0038510613408118607,0.004050143903877487,-0.0015858369733580367,0.04447529582876429,-0.002480316544435268,-0.011670189440499272,-0.0035119523454751056,-0.002862466893388984,-0.008388665342873098,-0.002411843654726701,-0.006420541510525858,2026-01-25 21:59:57 UTC
2021-02-04 00:00:00+00:00,-1.8491821658720206e-19,-0.0003842554294298593,-0.0005643270608719657,9.853797161853269e-06,-0.0005643270608719649,-0.010770632340144002,0.00252589015767279,0.005362341142181266,-0.006080243908366878,-0.00021159524144576152,0.01202080125241707,0.00046383309761443745,0.00124167354369387,-0.0011719989997376933,0.004430956986719161,0.006357833391865554,-0.0037291912221412006,2026-01-25 21:59:57 UTC
2021-02-05 00:00:00+00:00,-4.508588357548439e-19,0.0002556920057537609,0.00014329911447554506,5.033056580816754e-06,0.00014329911447554398,0.008659067969136973,0.005107714469607822,0.009035453183878748,0.0030156255937448186,-0.005045333001242122,-0.0017329538777824112,-0.005755691309056889,0.002608141112176357,-0.0024616672627946843,-0.0023691401896050917,-0.004677143112790411,-0.0010517698792550895,2026-01-25 21:59:57 UTC
2021-02-08 00:00:00+00:00,9.892953559190366e-18,0.001530711530350419,0.0012373604647496713,1.1189968767112175e-05,0.0012373604647496787,0.0030421243777006522,-0.0008589628357640867,-0.00190534483670915,-0.004054031596520687,0.033372094551204386,0.0005729764497979244,-0.009215021255483706,0.0021952973765782605,-0.005994980298482638,0.0106192845327903,0.002350093461967957,-0.018268246590382738,2026-01-25 21:59:57 UTC
2021-02-09 00:00:00+00:00,-3.421367429293631e-20,0.0011941442388063164,0.00112016134332505,1.0000945206022813e-06,0.0011201613433250504,-0.00553367633859547,-0.002750690905893701,-0.0028787564322878567,0.003213710895432855,-0.014075543661371486,0.0029931282859255517,-0.0007065077309367376,0.0018279692870333546,0.005366526756254124,0.006461306420861036,0.0024570165202030124,0.0046850733822157865,2026-01-25 21:59:57 UTC
