date,portfolio_type,daily_return,cumulative_return,vt_scaling_factor,vt_daily_return,vt_cumulative_return
2021-01-01,longonly,0.0,0.0,1.0,0.0,0.0
2021-01-04,longonly,0.0208358705896334,0.0208358705896334,1.0,0.0208358705896334,0.0208358705896334
2021-01-05,longonly,0.0274972449872453,0.0483331155768788,1.0,0.0274972449872453,0.0483331155768787
2021-01-06,longonly,0.0489596211607898,0.0972927367376686,1.0,0.0489596211607898,0.0972927367376685
2021-01-07,longonly,0.0352489338250297,0.1325416705626984,1.0,0.0352489338250297,0.1325416705626982
2021-01-08,longonly,-0.0009788608929641,0.1315628096697342,1.0,-0.0009788608929641,0.1315628096697341
2021-01-11,longonly,0.0050799738207043,0.1366427834904385,1.0,0.0050799738207043,0.1366427834904384
2021-01-12,longonly,0.0352442553931922,0.1718870388836307,1.0,0.0352442553931922,0.1718870388836306
2021-01-13,longonly,0.008411023552402,0.1802980624360328,1.0,0.008411023552402,0.1802980624360326
2021-01-14,longonly,0.0504463132401414,0.2307443756761742,1.0,0.0504463132401414,0.230744375676174
2021-01-15,longonly,-0.027125443615837,0.2036189320603372,1.0,-0.027125443615837,0.20361893206033702
2021-01-18,longonly,0.0,0.2036189320603372,1.0,0.0,0.20361893206033702
2021-01-19,longonly,0.0380435464699457,0.2416624785302829,1.0,0.0380435464699457,0.24166247853028272
2021-01-20,longonly,0.0015726226533015,0.2432351011835844,1.0,0.0015726226533015,0.2432351011835842
2021-01-21,longonly,0.013759351274889,0.2569944524584734,1.0,0.013759351274889,0.2569944524584732
2021-01-22,longonly,0.0120223541782521,0.2690168066367256,1.0,0.0120223541782521,0.2690168066367253
2021-01-25,longonly,0.0241802491499862,0.2931970557867119,1.0,0.0241802491499862,0.29319705578671146
2021-01-26,longonly,0.0222144475555773,0.3154115033422892,1.0,0.0222144475555773,0.31541150334228873
2021-01-27,longonly,0.0322906362191195,0.3477021395614088,1.0,0.0322906362191195,0.3477021395614082
2021-01-28,longonly,-0.0206337520325275,0.3270683875288812,1.0,-0.0206337520325275,0.32706838752888073
2021-01-29,longonly,0.005117374620726,0.3321857621496072,1.0,0.005117374620726,0.3321857621496067
2021-02-01,longonly,0.0235844003070343,0.3557701624566416,1.0,0.0235844003070343,0.355770162456641
2021-02-02,longonly,0.0267845635454292,0.3825547260020708,1.0,0.0267845635454292,0.3825547260020702
2021-02-03,longonly,0.0142323228147299,0.3967870488168008,1.0,0.0142323228147299,0.3967870488168001
2021-02-04,longonly,0.0400394277684117,0.4368264765852126,1.0,0.0400394277684117,0.4368264765852118
2021-02-05,longonly,0.0149951355334856,0.4518216121186982,1.0,0.0149951355334856,0.45182161211869737
2021-02-08,longonly,0.0514747709954566,0.5032963831141549,1.0,0.0514747709954566,0.5032963831141539
2021-02-09,longonly,0.023404858463687,0.526701241577842,1.0,0.023404858463687,0.5267012415778409
2021-02-10,longonly,-0.0012480869117943,0.5254531546660476,1.0,-0.0012480869117943,0.5254531546660466
2021-02-11,longonly,0.0315701626427447,0.5570233173087923,1.0,0.0315701626427447,0.5570233173087913
2021-02-12,longonly,0.0204013941351384,0.5774247114439308,1.0,0.0204013941351384,0.5774247114439297
2021-02-15,longonly,0.0,0.5774247114439308,1.0,0.0,0.5774247114439297
2021-02-16,longonly,0.0141722916927552,0.5915970031366861,1.0,0.0141722916927552,0.591597003136685
2021-02-17,longonly,0.0021982134453184,0.5937952165820045,1.0,0.0021982134453184,0.5937952165820034
2021-02-18,longonly,0.0002102528907995,0.594005469472804,1.0,0.0002102528907995,0.5940054694728029
2021-02-19,longonly,0.0376927520053123,0.6316982214781164,1.0,0.0376927520053123,0.6316982214781152
2021-02-22,longonly,0.0297255533194101,0.6614237747975265,1.0,0.0297255533194101,0.6614237747975252
2021-02-23,longonly,0.0166113209181272,0.6780350957156537,1.0,0.0166113209181272,0.6780350957156525
2021-02-24,longonly,0.0304608747437631,0.7084959704594168,1.0,0.0304608747437631,0.7084959704594156
2021-02-25,longonly,-0.0338351216179182,0.6746608488414987,1.0,-0.0338351216179182,0.6746608488414974
2021-02-26,longonly,0.0143755809606262,0.6890364298021249,1.0,0.0143755809606262,0.6890364298021235
2021-03-01,longonly,0.0307094464082191,0.719745876210344,1.0,0.0307094464082191,0.7197458762103426
2021-03-02,longonly,-0.0049171726100494,0.7148287036002945,1.0,-0.0049171726100494,0.7148287036002932
