date,portfolio_type,daily_return,cumulative_return
2021-01-27,longonly,-0.002944982200910063,-0.002944982200910063
2021-01-28,longonly,-0.00036097033847222893,-0.003305952539382292
2021-01-29,longonly,-0.0073801063226645435,-0.010686058862046835
2021-02-01,longonly,0.020517225275222387,0.009831166413175552
2021-02-02,longonly,0.016539075377441134,0.026370241790616686
2021-02-03,longonly,0.010512238484860489,0.03688248027547718
2021-02-04,longonly,0.025434655701158278,0.06231713597663545
2021-02-05,longonly,0.01712054852002689,0.07943768449666234
2021-02-08,longonly,0.02284871956708623,0.10228640406374857
2021-02-09,longonly,0.0058724915083199795,0.10815889557206855
2021-02-10,longonly,0.009561243171965392,0.11772013874403395
2021-02-11,longonly,0.012157042695080885,0.12987718143911484
2021-02-12,longonly,0.01196058471676124,0.14183776615587607
2021-02-15,longonly,0.0,0.14183776615587607
2021-02-16,longonly,0.007940455953978706,0.14977822210985478
2021-02-17,longonly,-0.0002002106354740687,0.1495780114743807
2021-02-18,longonly,-0.004039351593048326,0.14553865988133238
2021-02-19,longonly,0.02355591637279847,0.16909457625413085
2021-02-22,longonly,0.009781742962934296,0.17887631921706515
2021-02-23,longonly,0.0076821980044541206,0.18655851722151925
2021-02-24,longonly,0.02386417975847776,0.21042269697999702
2021-02-25,longonly,-0.02255858429275051,0.1878641126872465
2021-02-26,longonly,0.0015821940432138425,0.18944630673046034
2021-03-01,longonly,0.024306047875510647,0.213752354605971
2021-03-02,longonly,-0.00036357450357425236,0.21338878010239676
2021-03-03,longonly,0.006398424144267259,0.219787204246664
2021-03-04,longonly,-0.014244723485967222,0.20554248076069678
2021-03-05,longonly,0.030090698328853797,0.2356331790895506
2021-03-08,longonly,0.021300372975024566,0.25693355206457513
2021-03-09,longonly,-0.0005574492807431069,0.25637610278383205
2021-03-10,longonly,0.01678094012767923,0.27315704291151127
2021-03-11,longonly,0.012123452971535907,0.28528049588304716
2021-03-12,longonly,0.014156899865272781,0.29943739574831996
2021-03-15,longonly,0.012348207515261684,0.3117856032635816
2021-03-16,longonly,-0.006789325410529473,0.30499627785305217
2021-03-17,longonly,0.013105122970432238,0.3181014008234844
2021-03-18,longonly,-0.0019285937046657987,0.3161728071188186
2021-03-19,longonly,0.00663019749899813,0.32280300461781675
2021-03-22,longonly,0.003737330947022545,0.3265403355648393
2021-03-23,longonly,-0.01387471266464704,0.31266562290019223
2021-03-24,longonly,0.0011627333145880969,0.31382835621478034
2021-03-25,longonly,0.01713179093284305,0.3309601471476234
2021-03-26,longonly,0.02805367687238538,0.35901382402000875
2021-03-29,longonly,-0.003038634038716105,0.3559751899812927
2021-03-30,longonly,0.005211270482198402,0.36118646046349107
2021-03-31,longonly,0.001549619036311878,0.36273607949980297
2021-04-01,longonly,0.018205340669631868,0.38094142016943483
2021-04-02,longonly,0.0,0.38094142016943483
2021-04-05,longonly,0.014963191030519418,0.39590461119995424
2021-04-06,longonly,0.0013736565882215058,0.3972782677881757
2021-04-07,longonly,-0.0021068054134191203,0.39517146237475664
2021-04-08,longonly,0.007717223996988888,0.4028886863717455
2021-04-09,longonly,0.010007472684899186,0.4128961590566447
2021-04-12,longonly,0.002265964361275018,0.4151621234179197
2021-04-13,longonly,0.008898584270189795,0.4240607076881095
2021-04-14,longonly,0.00025082521305823315,0.42431153290116774
2021-04-15,longonly,0.016548226795354525,0.44085975969652225
2021-04-16,longonly,0.006168833971265768,0.447028593667788
2021-04-19,longonly,-0.0031337392925442323,0.4438948543752438
2021-04-20,longonly,-0.002754503111396408,0.4411403512638474
2021-04-21,longonly,0.01417220909374173,0.4553125603575891
2021-04-22,longonly,0.0031871324448123884,0.4584996928024015
2021-04-23,longonly,0.01597545863859169,0.47447515144099317
2021-04-26,longonly,0.00643851706220246,0.48091366850319567
2021-04-27,longonly,0.009215065255010396,0.49012873375820604
2021-04-28,longonly,0.008472529190325161,0.49860126294853124
2021-04-29,longonly,0.010011090199606137,0.5086123531481374
2021-04-30,longonly,-0.004708679104469886,0.5039036740436674
2021-05-03,longonly,0.011236261615860596,0.5151399356595281
2021-05-04,longonly,0.008399189825630076,0.5235391254851581
2021-05-05,longonly,0.010169053997995774,0.533708179483154
