date,portfolio_type,daily_return,cumulative_return
2021-01-01,longonly,0.0,0.0
2021-01-04,longonly,0.020835870589633435,0.020835870589633435
2021-01-05,longonly,0.027497244987245373,0.048333115576878805
2021-01-06,longonly,0.04895962116078977,0.09729273673766858
2021-01-07,longonly,0.035248933825029735,0.13254167056269833
2021-01-08,longonly,-0.0009788608929641599,0.13156280966973416
2021-01-11,longonly,0.005079973820704311,0.13664278349043846
2021-01-12,longonly,0.03524425539319219,0.17188703888363066
2021-01-13,longonly,0.008411023552402015,0.18029806243603266
2021-01-14,longonly,0.05044631324014137,0.23074437567617406
2021-01-15,longonly,-0.02712544361583699,0.20361893206033704
2021-01-18,longonly,0.0,0.20361893206033704
2021-01-19,longonly,0.03804354646994568,0.24166247853028272
2021-01-20,longonly,0.0015726226533015605,0.2432351011835843
2021-01-21,longonly,0.013759351274889012,0.2569944524584733
2021-01-22,longonly,0.012022354178252127,0.26901680663672545
2021-01-25,longonly,0.024180249149986264,0.2931970557867117
2021-01-26,longonly,0.022214447555577298,0.315411503342289
2021-01-27,longonly,0.03229063621911952,0.3477021395614085
2021-01-28,longonly,-0.020633752032527507,0.327068387528881
2021-01-29,longonly,0.0051173746207260305,0.33218576214960704
2021-02-01,longonly,0.023584400307034334,0.3557701624566414
2021-02-02,longonly,0.026784563545429206,0.3825547260020706
2021-02-03,longonly,0.014232322814729954,0.39678704881680055
2021-02-04,longonly,0.04003942776841177,0.4368264765852123
2021-02-05,longonly,0.014995135533485608,0.4518216121186979
2021-02-08,longonly,0.051474770995456665,0.5032963831141546
2021-02-09,longonly,0.02340485846368706,0.5267012415778416
2021-02-10,longonly,-0.0012480869117943846,0.5254531546660473
2021-02-11,longonly,0.0315701626427447,0.557023317308792
2021-02-12,longonly,0.020401394135138452,0.5774247114439304
2021-02-15,longonly,0.0,0.5774247114439304
2021-02-16,longonly,0.014172291692755228,0.5915970031366856
2021-02-17,longonly,0.0021982134453184523,0.5937952165820041
2021-02-18,longonly,0.00021025289079953328,0.5940054694728036
2021-02-19,longonly,0.0376927520053123,0.6316982214781159
2021-02-22,longonly,0.029725553319410115,0.661423774797526
2021-02-23,longonly,0.016611320918127222,0.6780350957156532
2021-02-24,longonly,0.03046087474376314,0.7084959704594164
2021-02-25,longonly,-0.03383512161791821,0.6746608488414981
2021-02-26,longonly,0.014375580960626213,0.6890364298021244
2021-03-01,longonly,0.030709446408219147,0.7197458762103436
2021-03-02,longonly,-0.004917172610049472,0.714828703600294
2021-03-03,longonly,0.013954722000635453,0.7287834256009296
2021-03-04,longonly,0.01989613009870821,0.7486795556996377
2021-03-05,longonly,0.03560767519771564,0.7842872308973534
2021-03-08,longonly,0.023233584620070333,0.8075208155174237
2021-03-09,longonly,-0.011870087855935102,0.7956507276614886
2021-03-10,longonly,0.027199493249774883,0.8228502209112635
2021-03-11,longonly,0.011615043369256943,0.8344652642805204
2021-03-12,longonly,0.02678872145466339,0.8612539857351839
2021-03-15,longonly,0.010620117646392983,0.8718741033815768
2021-03-16,longonly,-0.008497801226420382,0.8633763021551564
2021-03-17,longonly,0.025089281246732053,0.8884655834018884
2021-03-18,longonly,0.029520198582826875,0.9179857819847154
2021-03-19,longonly,0.02153983575219395,0.9395256177369093
2021-03-22,longonly,0.005330796510965545,0.9448564142478748
2021-03-23,longonly,-0.0028995671137453352,0.9419568471341295
2021-03-24,longonly,0.001945413702790678,0.9439022608369202
2021-03-25,longonly,0.02291152296383287,0.966813783800753
2021-03-26,longonly,0.03337561079325491,1.000189394594008
2021-03-29,longonly,0.006310875413260397,1.0065002700072683
2021-03-30,longonly,0.010534804585820328,1.0170350745930887
2021-03-31,longonly,0.003360881684662338,1.020395956277751
2021-04-01,longonly,0.013796713319916281,1.0341926695976673
2021-04-02,longonly,0.0,1.0341926695976673
2021-04-05,longonly,0.023429307782638128,1.0576219773803055
2021-04-06,longonly,0.00107921061609444,1.0587011879964
2021-04-07,longonly,0.00025449965591149357,1.0589556876523114
2021-04-08,longonly,0.0048837999049621975,1.0638394875572736
2021-04-09,longonly,0.00943847139594727,1.0732779589532209
2021-04-12,longonly,0.004506059978417631,1.0777840189316386
2021-04-13,longonly,0.004092211315294088,1.0818762302469325
2021-04-14,longonly,0.0023637224424257193,1.0842399526893582
2021-04-15,longonly,0.021246460472079832,1.1054864131614381
2021-04-16,longonly,0.019581643348739405,1.1250680565101776
2021-04-19,longonly,0.00042542855012347915,1.125493485060301
2021-04-20,longonly,0.0034561122605619556,1.128949597320863
2021-04-21,longonly,0.018844886538804218,1.1477944838596672
2021-04-22,longonly,0.01136712915437679,1.1591616130140439
2021-04-23,longonly,0.017808107415220997,1.1769697204292648
2021-04-26,longonly,0.0020472625540127994,1.1790169829832777
2021-04-27,longonly,0.010770853027745502,1.1897878360110232
2021-04-28,longonly,0.011711367340412894,1.2014992033514362
2021-04-29,longonly,0.017893770629556344,1.2193929739809926
2021-04-30,longonly,-0.001241167424748293,1.2181518065562442
2021-05-03,longonly,0.011396012139977315,1.2295478186962214
2021-05-04,longonly,0.022224504065834778,1.2517723227620563
2021-05-05,longonly,0.010881886530008236,1.2626542092920645
2021-05-06,longonly,0.010732419105397562,1.2733866283974622
2021-05-07,longonly,0.010778200926222484,1.2841648293236845
2021-05-10,longonly,0.004285825937839464,1.288450655261524
2021-05-11,longonly,-0.007279159439045377,1.2811714958224787
2021-05-12,longonly,0.0020550311982253724,1.283226527020704
2021-05-13,longonly,0.012147219010993861,1.2953737460316979
2021-05-14,longonly,0.022610937812436463,1.3179846838441343
2021-05-17,longonly,0.02016998593652508,1.3381546697806594
2021-05-18,longonly,-0.013246104845069634,1.3249085649355898
2021-05-19,longonly,-0.005228959249803231,1.3196796056857867
2021-05-20,longonly,0.012920212490610929,1.3325998181763976
2021-05-21,longonly,0.011884547238160102,1.3444843654145575
2021-05-24,longonly,0.016556235978294385,1.361040601392852
2021-05-25,longonly,-0.004866667564995111,1.356173933827857
2021-05-26,longonly,0.011301900545245661,1.3674758343731026
2021-05-27,longonly,0.013704746721990214,1.3811805810950928
2021-05-28,longonly,0.006335017617616091,1.3875155987127088
2021-05-31,longonly,0.0,1.3875155987127088
2021-06-01,longonly,0.014288261460948247,1.401803860173657
2021-06-02,longonly,0.015453568813177292,1.4172574289868345
2021-06-03,longonly,0.010956221664713849,1.4282136506515481
2021-06-04,longonly,0.022621991582532152,1.4508356422340805
2021-06-07,longonly,0.04707307178287,1.4979087140169505
2021-06-08,longonly,0.006715575052144217,1.5046242890690946
2021-06-09,longonly,0.0023547906980123596,1.506979079767107
2021-06-10,longonly,0.02684726690266726,1.5338263466697741
2021-06-11,longonly,0.008174895941416595,1.5420012426111909
2021-06-14,longonly,0.021378528254211642,1.5633797708654025
2021-06-15,longonly,-0.004543653940665937,1.5588361169247364
2021-06-16,longonly,0.011202700869963347,1.5700388177946998
2021-06-17,longonly,0.026120953269301382,1.5961597710640012
2021-06-18,longonly,0.011864898140909194,1.6080246692049105
2021-06-21,longonly,0.005165515470053611,1.6131901846749641
2021-06-22,longonly,0.021678680039743044,1.6348688647147072
2021-06-23,longonly,0.0011624087534318189,1.6360312734681388
2021-06-24,longonly,0.008944450469144254,1.644975723937283
2021-06-25,longonly,0.0036585195906476053,1.6486342435279309
2021-06-28,longonly,0.01481237129772976,1.6634466148256606
2021-06-29,longonly,0.014483761006141188,1.6779303758318018
2021-06-30,longonly,4.8278057287666704e-05,1.6779786538890893
2021-07-01,longonly,0.00853191478262405,1.6865105686717135
2021-07-02,longonly,0.007578349150724043,1.6940889178224374
2021-07-05,longonly,0.0,1.6940889178224374
2021-07-06,longonly,0.01838525624902975,1.7124741740714673
2021-07-07,longonly,0.008367424027331677,1.720841598098799
2021-07-08,longonly,-0.0043171472620687785,1.71652445083673
2021-07-09,longonly,0.00893858264419171,1.7254630334809218
2021-07-12,longonly,0.007322946829789344,1.7327859803107113
2021-07-13,longonly,-0.0029536155973542916,1.7298323647133569
2021-07-14,longonly,0.0052043381128562055,1.735036702826213
2021-07-15,longonly,0.009656507885674369,1.7446932107118875
2021-07-16,longonly,0.011725455664116096,1.7564186663760035
2021-07-19,longonly,0.005659713123396257,1.7620783794993997
2021-07-20,longonly,0.02470116189674002,1.7867795413961398
2021-07-21,longonly,0.014944944379891887,1.8017244857760317
2021-07-22,longonly,0.020391996661402692,1.8221164824374345
2021-07-23,longonly,0.013473842670603987,1.8355903251080383
2021-07-26,longonly,0.0006758978046795864,1.836266222912718
2021-07-27,longonly,-0.0012548614308060392,1.835011361481912
2021-07-28,longonly,0.018842511750226453,1.8538538732321383
2021-07-29,longonly,0.016809978508278693,1.870663851740417
2021-07-30,longonly,0.025717795972012666,1.8963816477124298
2021-08-02,longonly,0.009129692309952062,1.9055113400223818
2021-08-03,longonly,0.030963640088443184,1.936474980110825
2021-08-04,longonly,0.04400636050825266,1.9804813406190778
2021-08-05,longonly,0.011171657659565543,1.9916529982786433
2021-08-06,longonly,0.010053811803659675,2.001706810082303
2021-08-09,longonly,0.007567553459385489,2.0092743635416883
2021-08-10,longonly,0.005435593472746231,2.0147099570144347
2021-08-11,longonly,0.010640241647341581,2.0253501986617763
2021-08-12,longonly,0.00793713384803029,2.0332873325098064
2021-08-13,longonly,0.006576901083377837,2.0398642335931845
2021-08-16,longonly,0.0025813250094633587,2.0424455586026475
2021-08-17,longonly,0.000810895535826653,2.0432564541384743
2021-08-18,longonly,0.002504163469587633,2.045760617608062
2021-08-19,longonly,0.015990346334707133,2.061750963942769
2021-08-20,longonly,0.010929619176252636,2.0726805831190216
2021-08-23,longonly,0.009895703683280743,2.0825762868023023
2021-08-24,longonly,0.01876935153668063,2.1013456383389832
2021-08-25,longonly,0.00847169368109005,2.1098173320200733
2021-08-26,longonly,0.0032665898092107256,2.113083921829284
2021-08-27,longonly,0.015628865830842886,2.1287127876601266
2021-08-30,longonly,0.011132774712766223,2.139845562372893
2021-08-31,longonly,-0.001782996446641199,2.1380625659262518
2021-09-01,longonly,0.006692558189803676,2.1447551241160556
2021-09-02,longonly,0.021362012729428198,2.1661171368454837
2021-09-03,longonly,0.01043078839893903,2.1765479252444226
2021-09-06,longonly,0.0,2.1765479252444226
2021-09-07,longonly,0.005131270037756038,2.181679195282179
2021-09-08,longonly,0.0028426078253628788,2.1845218031075415
2021-09-09,longonly,0.015780691908260227,2.200302495015802
2021-09-10,longonly,0.008705485922643336,2.2090079809384453
2021-09-13,longonly,0.0031318714492030073,2.212139852387648
2021-09-14,longonly,0.004439821875796012,2.216579674263444
2021-09-15,longonly,0.011988270183165695,2.2285679444466098
2021-09-16,longonly,0.006230729177155697,2.2347986736237657
2021-09-17,longonly,0.006286658635566385,2.241085332259332
2021-09-20,longonly,-0.01671287023032096,2.224372462029011
2021-09-21,longonly,0.008091291867389817,2.232463753896401
2021-09-22,longonly,0.017111550886295093,2.249575304782696
2021-09-23,longonly,0.027080998029925363,2.276656302812621
2021-09-24,longonly,0.014501843938919266,2.2911581467515405
2021-09-27,longonly,0.01554045207460084,2.3066985988261415
2021-09-28,longonly,-0.003724709461231845,2.3029738893649094
2021-09-29,longonly,0.005468318200361925,2.3084422075652715
2021-09-30,longonly,-0.011415911033597837,2.2970262965316737
2021-10-01,longonly,0.042323629457104245,2.339349925988778
2021-10-04,longonly,0.02125437872819394,2.360604304716972
2021-10-05,longonly,0.016117042013007392,2.3767213467299793
2021-10-06,longonly,-0.0021944140675656592,2.3745269326624134
2021-10-07,longonly,0.014170682947823358,2.388697615610237
2021-10-08,longonly,0.029767653652382785,2.4184652692626196
2021-10-11,longonly,0.004541592170755445,2.4230068614333753
2021-10-12,longonly,0.006811651911406164,2.4298185133447814
2021-10-13,longonly,0.01198489359610139,2.4418034069408825
2021-10-14,longonly,0.016676385023026433,2.458479791963909
2021-10-15,longonly,0.008943986046005423,2.4674237780099144
2021-10-18,longonly,0.013500658014664133,2.4809244360245786
2021-10-19,longonly,0.011620937582646908,2.4925453736072254
2021-10-20,longonly,0.009897789375220397,2.502443162982446
2021-10-21,longonly,0.013441977260912567,2.5158851402433586
2021-10-22,longonly,0.007716010717971837,2.5236011509613303
2021-10-25,longonly,0.02242962674234939,2.5460307777036797
2021-10-26,longonly,0.0027069351179008524,2.5487377128215805
2021-10-27,longonly,0.0005636515614902129,2.5493013643830706
2021-10-28,longonly,0.023971412132088556,2.5732727765151595
2021-10-29,longonly,0.027126740539505687,2.600399517054665
2021-11-01,longonly,0.01419338770687256,2.6145929047615377
2021-11-02,longonly,0.016804232801694727,2.6313971375632326
2021-11-03,longonly,0.010122597713339869,2.6415197352765722
2021-11-04,longonly,0.02865253271824387,2.670172267994816
2021-11-05,longonly,0.010957333944596546,2.681129601939413
2021-11-08,longonly,0.011592890876764015,2.6927224928161766
2021-11-09,longonly,0.006762429114276764,2.6994849219304533
2021-11-10,longonly,-0.029242153622502248,2.670242768307951
2021-11-11,longonly,0.038648150247797976,2.708890918555749
2021-11-12,longonly,0.032138007414420425,2.7410289259701694
2021-11-15,longonly,0.009504472416867082,2.7505333983870366
2021-11-16,longonly,0.029929540966591995,2.7804629393536286
2021-11-17,longonly,-0.0032490910709529054,2.777213848282676
2021-11-18,longonly,0.018111742059158678,2.7953255903418346
2021-11-19,longonly,0.013442035023467394,2.808767625365302
2021-11-22,longonly,-0.004203010351076178,2.804564615014226
2021-11-23,longonly,0.004977542884808704,2.8095421578990343
2021-11-24,longonly,0.018103047834446925,2.8276452057334813
2021-11-25,longonly,0.0,2.8276452057334813
2021-11-26,longonly,-0.008881984786816989,2.818763220946664
2021-11-29,longonly,0.035374449778902604,2.854137670725567
2021-11-30,longonly,-0.011119441281723595,2.8430182294438433
2021-12-01,longonly,0.007919518017915923,2.850937747461759
2021-12-02,longonly,0.012136969770582767,2.863074717232342
2021-12-03,longonly,0.014756541582274308,2.8778312588146164
2021-12-06,longonly,0.0170263760789422,2.8948576348935586
2021-12-07,longonly,0.03501638274423233,2.9298740176377907
2021-12-08,longonly,0.00662309928568241,2.9364971169234733
2021-12-09,longonly,-0.007249800155943417,2.9292473167675297
2021-12-10,longonly,0.01725472673569118,2.946502043503221
2021-12-13,longonly,-0.00971796955698907,2.936784073946232
2021-12-14,longonly,-0.0020775903205103264,2.9347064836257215
2021-12-15,longonly,0.02651098492892185,2.9612174685546435
2021-12-16,longonly,0.009968161473739422,2.971185630028383
2021-12-17,longonly,-0.003047260136273498,2.9681383698921096
2021-12-20,longonly,0.002125241775140012,2.9702636116672494
2021-12-21,longonly,0.022481262022554342,2.9927448736898037
2021-12-22,longonly,0.018390103518285447,3.0111349772080893
2021-12-23,longonly,0.011337765160892122,3.0224727423689814
2021-12-24,longonly,0.0,3.0224727423689814
2021-12-27,longonly,0.02283587115115843,3.04530861352014
2021-12-28,longonly,-0.007062134902924171,3.0382464786172156
2021-12-29,longonly,0.007958940050505143,3.0462054186677205
2021-12-30,longonly,-0.0033907834617258052,3.042814635205995
2021-12-31,longonly,0.002968125212948552,3.0457827604189434
2022-01-03,longonly,0.016813225849072203,3.0625959862680157
2022-01-04,longonly,0.025200995461455655,3.0877969817294715
2022-01-05,longonly,-0.000572078547286439,3.087224903182185
2022-01-06,longonly,0.030855259778837695,3.1180801629610224
2022-01-07,longonly,0.011288558756848921,3.1293687217178716
2022-01-10,longonly,0.0013023792960209263,3.1306711010138923
2022-01-11,longonly,0.02736622857570018,3.1580373295895927
2022-01-12,longonly,0.005453359302111445,3.163490688891704
2022-01-13,longonly,-0.0013856166924300526,3.162105072199274
2022-01-14,longonly,0.03280351283769341,3.194908585036967
2022-01-17,longonly,0.0,3.194908585036967
2022-01-18,longonly,-0.0009121938929401601,3.1939963911440272
2022-01-19,longonly,-0.010177842198153916,3.1838185489458732
2022-01-20,longonly,-0.01579418607560041,3.168024362870273
2022-01-21,longonly,-0.020664191145207428,3.1473601717250657
2022-01-24,longonly,0.01305209854494039,3.160412270270006
2022-01-25,longonly,0.04171316578987913,3.202125436059885
2022-01-26,longonly,0.0027115960571136386,3.2048370321169988
2022-01-27,longonly,0.0075842984328247445,3.2124213305498235
2022-01-28,longonly,0.006434007391330638,3.218855337941154
2022-01-31,longonly,0.002679128751233412,3.2215344666923875
2022-02-01,longonly,0.0314673028412576,3.253001769533645
2022-02-02,longonly,0.00901904280553813,3.262020812339183
2022-02-03,longonly,-0.0072261403627099235,3.254794671976473
2022-02-04,longonly,0.0158382257888697,3.270632897765343
2022-02-07,longonly,0.009649512576615643,3.2802824103419588
2022-02-08,longonly,0.004173275515231939,3.2844556858571905
2022-02-09,longonly,0.025370522442874494,3.309826208300065
2022-02-10,longonly,-0.0033450559515728717,3.3064811523484923
2022-02-11,longonly,0.021667218641239494,3.3281483709897315
2022-02-14,longonly,-0.006852293124111478,3.32129607786562
2022-02-15,longonly,0.030637211734158218,3.351933289599778
2022-02-16,longonly,0.016273303066926113,3.3682065926667044
2022-02-17,longonly,-0.012537480306658121,3.3556691123600464
2022-02-18,longonly,-0.0015834972746616661,3.354085615085385
2022-02-21,longonly,0.0,3.354085615085385
2022-02-22,longonly,-0.003883454791100514,3.3502021602942844
2022-02-23,longonly,0.00020830765717139328,3.3504104679514555
2022-02-24,longonly,0.02522422345385539,3.375634691405311
2022-02-25,longonly,0.041493235578233326,3.4171279269835444
2022-02-28,longonly,0.044647343712499496,3.4617752706960436
2022-03-01,longonly,0.0212902276708996,3.4830654983669436
2022-03-02,longonly,0.019218679605873267,3.502284177972817
2022-03-03,longonly,0.0171166916854771,3.519400869658294
2022-03-04,longonly,0.043946449859525276,3.563347319517819
2022-03-07,longonly,0.012241370057648828,3.575588689575468
2022-03-08,longonly,-0.015159460544301707,3.560429229031166
2022-03-09,longonly,0.0003654816476042393,3.5607947106787705
2022-03-10,longonly,0.03642683319937883,3.5972215438781494
2022-03-11,longonly,-0.0004890640006438263,3.5967324798775056
2022-03-14,longonly,-0.007683578564419856,3.5890489013130855
2022-03-15,longonly,0.013528672012704107,3.6025775733257897
2022-03-16,longonly,0.009058739921147241,3.6116363132469367
2022-03-17,longonly,0.03446729788790562,3.6461036111348424
2022-03-18,longonly,0.012565841943156617,3.6586694530779993
2022-03-21,longonly,0.02789325250170828,3.6865627055797074
2022-03-22,longonly,-0.002315137528329007,3.6842475680513784
2022-03-23,longonly,0.01552587315914666,3.699773441210525
2022-03-24,longonly,0.019205545754449112,3.718978986964974
2022-03-25,longonly,0.029273224478549187,3.7482522114435235
2022-03-28,longonly,-0.003868143585085846,3.7443840678584377
2022-03-29,longonly,0.004066405153718491,3.748450473012156
2022-03-30,longonly,0.010622565016727616,3.7590730380288835
2022-03-31,longonly,-0.000921356680154513,3.7581516813487292
2022-04-01,longonly,0.017535144069421766,3.775686825418151
2022-04-04,longonly,0.0038501092171024246,3.7795369346352534
2022-04-05,longonly,0.00845756090517149,3.787994495540425
2022-04-06,longonly,0.024589489553634325,3.8125839850940593
2022-04-07,longonly,0.019544408538982146,3.8321283936330413
2022-04-08,longonly,0.01732351652956828,3.8494519101626095
2022-04-11,longonly,-0.006993438099946415,3.8424584720626633
2022-04-12,longonly,0.009677097457977362,3.8521355695206405
2022-04-13,longonly,0.014288149553028286,3.8664237190736688
2022-04-14,longonly,0.008843590089139115,3.875267309162808
2022-04-15,longonly,0.0,3.875267309162808
2022-04-18,longonly,0.014208846068368693,3.8894761552311765
2022-04-19,longonly,0.0065341745693888445,3.8960103298005655
2022-04-20,longonly,0.015473073148338755,3.911483402948904
2022-04-21,longonly,-0.010079215608609401,3.9014041873402947
2022-04-22,longonly,-0.007777755441552969,3.893626431898742
2022-04-25,longonly,0.004892401816714425,3.8985188337154564
2022-04-26,longonly,-0.009942499200762737,3.8885763345146933
2022-04-27,longonly,0.012461580529117462,3.901037915043811
2022-04-28,longonly,0.025098262504096785,3.9261361775479076
2022-04-29,longonly,-0.01647248787568462,3.909663689672223
2022-05-02,longonly,0.0120657567498057,3.9217294464220287
2022-05-03,longonly,0.04255274254354858,3.9642821889655773
2022-05-04,longonly,0.056139438251039585,4.020421627216617
2022-05-05,longonly,-0.022062563523289946,3.998359063693327
2022-05-06,longonly,0.014952159687514127,4.013311223380841
2022-05-09,longonly,-0.042133242821700854,3.9711779805591405
2022-05-10,longonly,0.00890249012550389,3.980080470684644
2022-05-11,longonly,0.001547340817406493,3.981627811502051
2022-05-12,longonly,0.0036769788253722103,3.985304790327423
2022-05-13,longonly,0.031682474244465755,4.016987264571888
2022-05-16,longonly,0.016719203591213955,4.0337064681631025
2022-05-17,longonly,0.022650357318764195,4.056356825481867
2022-05-18,longonly,-0.022576939378669954,4.033779886103197
2022-05-19,longonly,0.006710242849374804,4.040490128952571
