date,portfolio_type,daily_return,cumulative_return,rolling_vol_63,rolling_sharpe_63,drawdown
2021-01-27,longonly,-0.00294498220091,-0.00294498220091,,,0.0
2021-01-28,longonly,-0.0003609703384722,-0.0033059525393822,0.0018271723105962485,-0.9046635941805049,-0.00036203652960792976
2021-01-29,longonly,-0.0073801063226645,-0.0106860588620468,0.00355001674280491,-1.003381076413696,-0.00776394133016301
2021-02-01,longonly,0.0205172252752223,0.0098311664131755,0.012383628491091222,0.198471038198702,0.0
2021-02-02,longonly,0.0165390753774411,0.0263702417906166,0.012436727925770386,0.424070413826042,0.0
2021-02-03,longonly,0.0105122384848604,0.0368824802754771,0.011327438685202279,0.5426716680394089,0.0
2021-02-04,longonly,0.0254346557011582,0.0623171359766354,0.012651880905513502,0.7036462058999173,0.0
2021-02-05,longonly,0.0171205485200268,0.0794376844966623,0.012068350413193494,0.8227893806619417,0.0
2021-02-08,longonly,0.0228487195670862,0.1022864040637485,0.012082383006419934,0.9406386141743982,0.0
2021-02-09,longonly,0.0058724915083199,0.1081588955720685,0.011523040975353002,0.9386315279396533,0.0
2021-02-10,longonly,0.0095612431719653,0.1177201387440339,0.010938259889101009,0.978385127379863,0.0
2021-02-11,longonly,0.0121570426950808,0.1298771814391148,0.010437678536524296,1.0369258274612059,0.0
2021-02-12,longonly,0.0119605847167612,0.141837766155876,0.00999829490339706,1.0912458076125342,0.0
2021-02-15,longonly,0.0,0.141837766155876,0.010038882135901305,1.0092029046642816,0.0
2021-02-16,longonly,0.0079404559539787,0.1497782221098547,0.009690233276697362,1.0304411175875001,0.0
2021-02-17,longonly,-0.000200210635474,0.1495780114743807,0.009701778717089271,0.9635991491623651,-0.00017412978574819513
2021-02-18,longonly,-0.0040393515930483,0.1455386598813323,0.009939071204600448,0.8613579140187381,-0.0036872869454273077
2021-02-19,longonly,0.0235559163727984,0.1690945762541308,0.010269645177853217,0.9147485587416592,0.0
2021-02-22,longonly,0.0097817429629342,0.1788763192170651,0.009980697292340171,0.943275087995398,0.0
2021-02-23,longonly,0.0076821980044541,0.1865585172215192,0.009722217368244109,0.9594442818717404,0.0
2021-02-24,longonly,0.0238641797584777,0.210422696979997,0.009992870822907668,1.0027277051003918,0.0
2021-02-25,longonly,-0.0225585842927505,0.1878641126872465,0.011972742182247259,0.7132265707752391,-0.018636947530010897
2021-02-26,longonly,0.0015821940432138,0.1894463067304603,0.011787077449748466,0.6987988311706872,-0.01732980577931382
2021-03-01,longonly,0.0243060478755106,0.213752354605971,0.011985563673150174,0.7430896327833056,0.0
2021-03-02,longonly,-0.0003635745035742,0.2133887801023967,0.01187878035893224,0.7185545103271094,-0.0002995458688048534
2021-03-03,longonly,0.0063984241442672,0.219787204246664,0.011646324388061869,0.7258387906619023,0.0
2021-03-04,longonly,-0.0142447234859672,0.2055424807606967,0.012227086786646546,0.6226081981304279,-0.011678039773146144
2021-03-05,longonly,0.0300906983288537,0.2356331790895506,0.012728298889687675,0.661162246008204,0.0
2021-03-08,longonly,0.0213003729750245,0.2569335520645751,0.012725894377801097,0.6962007851372712,0.0
2021-03-09,longonly,-0.0005574492807431,0.256376102783832,0.012622206594959832,0.6770504054502497,-0.00044349940362983727
