week_start,date,strategy,side,rank,ticker,weight,expected_return,realized_weekly_return,portfolio_weekly_return,regime_label
2021-01-04 00:00:00+00:00,2021-01-04 00:00:00+00:00,long_only,long,1,ALB,0.1,,0.20618489296954023,0.08554195414303087,
2021-01-04 00:00:00+00:00,2021-01-04 00:00:00+00:00,long_only,long,2,ALGN,0.1,,0.08371007386104568,0.08554195414303087,
2021-01-04 00:00:00+00:00,2021-01-04 00:00:00+00:00,long_only,long,3,AMAT,0.1,,0.10003447147759714,0.08554195414303087,
2021-01-04 00:00:00+00:00,2021-01-04 00:00:00+00:00,long_only,long,4,AMGN,0.1,,0.05219271878549114,0.08554195414303087,
2021-01-04 00:00:00+00:00,2021-01-04 00:00:00+00:00,long_only,long,5,APD,0.1,,0.06539887109999132,0.08554195414303087,
2021-01-04 00:00:00+00:00,2021-01-04 00:00:00+00:00,long_only,long,6,APTV,0.1,,0.12392868297829085,0.08554195414303087,
2021-01-04 00:00:00+00:00,2021-01-04 00:00:00+00:00,long_only,long,7,ASML,0.1,,0.017479980468749767,0.08554195414303087,
2021-01-04 00:00:00+00:00,2021-01-04 00:00:00+00:00,long_only,long,8,AZO,0.1,,0.061436816359986546,0.08554195414303087,
2021-01-04 00:00:00+00:00,2021-01-04 00:00:00+00:00,long_only,long,9,BBY,0.1,,0.07045479133806709,0.08554195414303087,
2021-01-04 00:00:00+00:00,2021-01-04 00:00:00+00:00,long_only,long,10,BK,0.1,,0.07459824209154897,0.08554195414303087,
2021-01-04 00:00:00+00:00,2021-01-04 00:00:00+00:00,long_short,long,1,ALB,0.1,,0.20618489296954023,0.08646560443585316,
2021-01-04 00:00:00+00:00,2021-01-04 00:00:00+00:00,long_short,long,2,ALGN,0.1,,0.08371007386104568,0.08646560443585316,
2021-01-04 00:00:00+00:00,2021-01-04 00:00:00+00:00,long_short,long,3,AMAT,0.1,,0.10003447147759714,0.08646560443585316,
2021-01-04 00:00:00+00:00,2021-01-04 00:00:00+00:00,long_short,long,4,AMGN,0.1,,0.05219271878549114,0.08646560443585316,
2021-01-04 00:00:00+00:00,2021-01-04 00:00:00+00:00,long_short,long,5,APD,0.1,,0.06539887109999132,0.08646560443585316,
2021-01-04 00:00:00+00:00,2021-01-04 00:00:00+00:00,long_short,long,6,APTV,0.1,,0.12392868297829085,0.08646560443585316,
2021-01-04 00:00:00+00:00,2021-01-04 00:00:00+00:00,long_short,long,7,ASML,0.1,,0.017479980468749767,0.08646560443585316,
2021-01-04 00:00:00+00:00,2021-01-04 00:00:00+00:00,long_short,long,8,AZO,0.1,,0.061436816359986546,0.08646560443585316,
2021-01-04 00:00:00+00:00,2021-01-04 00:00:00+00:00,long_short,long,9,BBY,0.1,,0.07045479133806709,0.08646560443585316,
2021-01-04 00:00:00+00:00,2021-01-04 00:00:00+00:00,long_short,long,10,BK,0.1,,0.07459824209154897,0.08646560443585316,
2021-01-04 00:00:00+00:00,2021-01-04 00:00:00+00:00,long_short,short,1,AAPL,-0.1,,0.020400272891897275,0.08646560443585316,
2021-01-04 00:00:00+00:00,2021-01-04 00:00:00+00:00,long_short,short,2,ADBE,-0.1,,-0.000494478584468272,0.08646560443585316,
2021-01-04 00:00:00+00:00,2021-01-04 00:00:00+00:00,long_short,short,3,ADP,-0.1,,0.012369769500719885,0.08646560443585316,
2021-01-04 00:00:00+00:00,2021-01-04 00:00:00+00:00,long_short,short,4,AEE,-0.1,,-0.014842996114350138,0.08646560443585316,
2021-01-04 00:00:00+00:00,2021-01-04 00:00:00+00:00,long_short,short,5,AEP,-0.1,,-0.02894285729523638,0.08646560443585316,
2021-01-04 00:00:00+00:00,2021-01-04 00:00:00+00:00,long_short,short,6,AJG,-0.1,,0.0050731921256574886,0.08646560443585316,
2021-01-04 00:00:00+00:00,2021-01-04 00:00:00+00:00,long_short,short,7,AMCR,-0.1,,0.010544788366098956,0.08646560443585316,
2021-01-04 00:00:00+00:00,2021-01-04 00:00:00+00:00,long_short,short,8,AMT,-0.1,,0.011839666541270555,0.08646560443585316,
2021-01-04 00:00:00+00:00,2021-01-04 00:00:00+00:00,long_short,short,9,AON,-0.1,,0.0032754737665574574,0.08646560443585316,
2021-01-04 00:00:00+00:00,2021-01-04 00:00:00+00:00,long_short,short,10,ARE,-0.1,,-0.028459334126369695,0.08646560443585316,
2021-01-11 00:00:00+00:00,2021-01-11 00:00:00+00:00,long_only,long,1,ABNB,0.1,,0.13019963573297155,0.06774764234884369,
2021-01-11 00:00:00+00:00,2021-01-11 00:00:00+00:00,long_only,long,2,AES,0.1,,0.0857592564371703,0.06774764234884369,
2021-01-11 00:00:00+00:00,2021-01-11 00:00:00+00:00,long_only,long,3,ALB,0.1,,-0.021510084641933935,0.06774764234884369,
2021-01-11 00:00:00+00:00,2021-01-11 00:00:00+00:00,long_only,long,4,AMAT,0.1,,0.07932191319288107,0.06774764234884369,
2021-01-11 00:00:00+00:00,2021-01-11 00:00:00+00:00,long_only,long,5,AMGN,0.1,,0.029351334809712304,0.06774764234884369,
2021-01-11 00:00:00+00:00,2021-01-11 00:00:00+00:00,long_only,long,6,AMP,0.1,,0.03339119635642396,0.06774764234884369,
2021-01-11 00:00:00+00:00,2021-01-11 00:00:00+00:00,long_only,long,7,APA,0.1,,0.04161643771005408,0.06774764234884369,
2021-01-11 00:00:00+00:00,2021-01-11 00:00:00+00:00,long_only,long,8,ASML,0.1,,0.03687543760218692,0.06774764234884369,
2021-01-11 00:00:00+00:00,2021-01-11 00:00:00+00:00,long_only,long,9,AXON,0.1,,0.20269626306950705,0.06774764234884369,
2021-01-11 00:00:00+00:00,2021-01-11 00:00:00+00:00,long_only,long,10,BBY,0.1,,0.059775033219463536,0.06774764234884369,
2021-01-11 00:00:00+00:00,2021-01-11 00:00:00+00:00,long_short,long,1,ABNB,0.1,,0.13019963573297155,0.10377540094055,
2021-01-11 00:00:00+00:00,2021-01-11 00:00:00+00:00,long_short,long,2,AES,0.1,,0.0857592564371703,0.10377540094055,
2021-01-11 00:00:00+00:00,2021-01-11 00:00:00+00:00,long_short,long,3,ALB,0.1,,-0.021510084641933935,0.10377540094055,
2021-01-11 00:00:00+00:00,2021-01-11 00:00:00+00:00,long_short,long,4,AMAT,0.1,,0.07932191319288107,0.10377540094055,
2021-01-11 00:00:00+00:00,2021-01-11 00:00:00+00:00,long_short,long,5,AMGN,0.1,,0.029351334809712304,0.10377540094055,
2021-01-11 00:00:00+00:00,2021-01-11 00:00:00+00:00,long_short,long,6,AMP,0.1,,0.03339119635642396,0.10377540094055,
2021-01-11 00:00:00+00:00,2021-01-11 00:00:00+00:00,long_short,long,7,APA,0.1,,0.04161643771005408,0.10377540094055,
2021-01-11 00:00:00+00:00,2021-01-11 00:00:00+00:00,long_short,long,8,ASML,0.1,,0.03687543760218692,0.10377540094055,
2021-01-11 00:00:00+00:00,2021-01-11 00:00:00+00:00,long_short,long,9,AXON,0.1,,0.20269626306950705,0.10377540094055,
2021-01-11 00:00:00+00:00,2021-01-11 00:00:00+00:00,long_short,long,10,BBY,0.1,,0.059775033219463536,0.10377540094055,
2021-01-11 00:00:00+00:00,2021-01-11 00:00:00+00:00,long_short,short,1,AAPL,-0.1,,-0.037182912144158475,0.10377540094055,
2021-01-11 00:00:00+00:00,2021-01-11 00:00:00+00:00,long_short,short,2,ACGL,-0.1,,-0.04802415109635361,0.10377540094055,
2021-01-11 00:00:00+00:00,2021-01-11 00:00:00+00:00,long_short,short,3,ACN,-0.1,,-0.03978652945155359,0.10377540094055,
2021-01-11 00:00:00+00:00,2021-01-11 00:00:00+00:00,long_short,short,4,ADBE,-0.1,,-0.05569989526135788,0.10377540094055,
2021-01-11 00:00:00+00:00,2021-01-11 00:00:00+00:00,long_short,short,5,ADP,-0.1,,-0.058053246170160056,0.10377540094055,
2021-01-11 00:00:00+00:00,2021-01-11 00:00:00+00:00,long_short,short,6,AEE,-0.1,,-0.008133341471353916,0.10377540094055,
2021-01-11 00:00:00+00:00,2021-01-11 00:00:00+00:00,long_short,short,7,AJG,-0.1,,-0.039222159070068874,0.10377540094055,
2021-01-11 00:00:00+00:00,2021-01-11 00:00:00+00:00,long_short,short,8,AMCR,-0.1,,-0.0391304347826088,0.10377540094055,
2021-01-11 00:00:00+00:00,2021-01-11 00:00:00+00:00,long_short,short,9,AMT,-0.1,,-0.010396028759315445,0.10377540094055,
2021-01-11 00:00:00+00:00,2021-01-11 00:00:00+00:00,long_short,short,10,AMZN,-0.1,,-0.024648887710132517,0.10377540094055,
2021-01-18 00:00:00+00:00,2021-01-18 00:00:00+00:00,long_only,long,1,ABNB,0.1,,0.07443723357178711,0.05185847082230686,
2021-01-18 00:00:00+00:00,2021-01-18 00:00:00+00:00,long_only,long,2,AKAM,0.1,,0.024518559748015534,0.05185847082230686,
2021-01-18 00:00:00+00:00,2021-01-18 00:00:00+00:00,long_only,long,3,AMAT,0.1,,0.030928858447583085,0.05185847082230686,
2021-01-18 00:00:00+00:00,2021-01-18 00:00:00+00:00,long_only,long,4,AMGN,0.1,,0.03262859720396638,0.05185847082230686,
2021-01-18 00:00:00+00:00,2021-01-18 00:00:00+00:00,long_only,long,5,AMP,0.1,,0.01685228791726301,0.05185847082230686,
2021-01-18 00:00:00+00:00,2021-01-18 00:00:00+00:00,long_only,long,6,AMZN,0.1,,0.06055570553143608,0.05185847082230686,
