date,portfolio_ret,cum_ret,roll_vol_20,roll_sharpe_20,drawdown,performance_run_date
2020-12-31,0.0,1.0,,,0.0,2026-02-02 07:32:14 UTC
2021-01-01,-0.0018159287036673,0.9981840712963327,,,-0.0018159287036673133,2026-02-02 07:32:14 UTC
2021-01-04,0.0012459751745876,0.9994277838688368,,,-0.0005722161311632057,2026-02-02 07:32:14 UTC
2021-01-05,0.0082479349312086,1.007670999198629,,,0.0,2026-02-02 07:32:14 UTC
2021-01-06,0.0012533224849965,1.0089339359194034,,,0.0,2026-02-02 07:32:14 UTC
2021-01-07,-0.0039575683671305,1.0049410108900843,,,-0.003957568367130571,2026-02-02 07:32:14 UTC
2021-01-08,0.003944174699294,1.00890467379952,,,-2.9003008860772894e-05,2026-02-02 07:32:14 UTC
2021-01-11,0.0125025442295675,1.0215185491071157,,,0.0,2026-02-02 07:32:14 UTC
2021-01-12,-0.0040396479471476,1.0173919737972419,,,-0.004039647947147618,2026-02-02 07:32:14 UTC
2021-01-13,0.0119196268680621,1.0295189065034662,,,0.0,2026-02-02 07:32:14 UTC
2021-01-14,-0.0111198026932228,1.0180708593942052,,,-0.01111980269322288,2026-02-02 07:32:14 UTC
2021-01-15,0.0,1.0180708593942052,,,-0.01111980269322288,2026-02-02 07:32:14 UTC
2021-01-18,0.0039725469100679,1.0221151936409218,,,-0.00719142972098441,2026-02-02 07:32:14 UTC
2021-01-19,-0.00736228204346,1.0145900933044316,,,-0.014500766430542766,2026-02-02 07:32:14 UTC
2021-01-20,-0.0012435942632214,1.013328354884877,,,-0.01572632762381876,2026-02-02 07:32:14 UTC
2021-01-21,0.0048360667882691,1.0182288784875473,,,-0.010966314406272604,2026-02-02 07:32:14 UTC
2021-01-22,0.0033395415493341,1.0216292961339883,,,-0.0076633953195413,2026-02-02 07:32:14 UTC
2021-01-25,0.0028294926538063,1.0245199887223129,,,-0.004855586186494731,2026-02-02 07:32:14 UTC
2021-01-26,0.0088409523767685,1.0335777211516544,,,0.0,2026-02-02 07:32:14 UTC
2021-01-27,-0.0233011696219134,1.0094941513536688,0.1299955614269307,0.9781990241381144,-0.02330116962191353,2026-02-02 07:32:14 UTC
