regime_label,factor_name,contribution,attribution_regime_run_date
recovery,sector_basic materials,0.13721863326059563,2026-01-30 01:11:37 UTC
recovery,sector_communication services,-0.6027197705957003,2026-01-30 01:11:37 UTC
recovery,sector_consumer cyclical,0.3377588356684146,2026-01-30 01:11:37 UTC
recovery,sector_consumer defensive,0.012360021663329383,2026-01-30 01:11:37 UTC
recovery,sector_energy,0.46689162619867336,2026-01-30 01:11:37 UTC
recovery,sector_financial services,-0.28582713171379515,2026-01-30 01:11:37 UTC
recovery,sector_healthcare,-0.9275567703079725,2026-01-30 01:11:37 UTC
recovery,sector_industrials,0.5262085437369696,2026-01-30 01:11:37 UTC
recovery,sector_real estate,-0.6061700711758226,2026-01-30 01:11:37 UTC
recovery,sector_technology,0.24222973392673997,2026-01-30 01:11:37 UTC
recovery,sector_unknown,-1.0238467162168842e-05,2026-01-30 01:11:37 UTC
recovery,sector_utilities,-0.540161919360712,2026-01-30 01:11:37 UTC
recovery,size_factor,14.6137265207729,2026-01-30 01:11:37 UTC
recovery,vol_factor,-10.895521166999153,2026-01-30 01:11:37 UTC
recovery,volume_zscore,16.070714460488553,2026-01-30 01:11:37 UTC
stress_building,liquidity_factor,-6.767130171899802,2026-01-30 01:11:37 UTC
stress_building,low_vol_252,21.945951491364614,2026-01-30 01:11:37 UTC
stress_building,sector_basic materials,0.141043832876182,2026-01-30 01:11:37 UTC
stress_building,sector_communication services,-0.03579316233692641,2026-01-30 01:11:37 UTC
stress_building,sector_consumer cyclical,0.00413148552720235,2026-01-30 01:11:37 UTC
stress_building,sector_consumer defensive,-0.09046190629335508,2026-01-30 01:11:37 UTC
stress_building,sector_energy,0.0366242342473595,2026-01-30 01:11:37 UTC
stress_building,sector_financial services,-0.11097255628127929,2026-01-30 01:11:37 UTC
stress_building,sector_healthcare,-0.02838556560255498,2026-01-30 01:11:37 UTC
stress_building,sector_industrials,-0.20762053009169984,2026-01-30 01:11:37 UTC
stress_building,sector_real estate,0.03228451269904139,2026-01-30 01:11:37 UTC
stress_building,sector_technology,-0.00869476640101799,2026-01-30 01:11:37 UTC
stress_building,sector_unknown,4.9634242723055304e-06,2026-01-30 01:11:37 UTC
stress_building,sector_utilities,0.01925054470722197,2026-01-30 01:11:37 UTC
stress_building,size_factor,-6.767130171899803,2026-01-30 01:11:37 UTC
stress_building,vol_factor,23.321175319508097,2026-01-30 01:11:37 UTC
stress_building,volume_zscore,-7.420199844982664,2026-01-30 01:11:37 UTC
unknown,liquidity_factor,0.08151704388038625,2026-01-30 01:11:37 UTC
unknown,low_vol_252,0.28400285135464515,2026-01-30 01:11:37 UTC
unknown,sector_basic materials,0.0003157769314680475,2026-01-30 01:11:37 UTC
unknown,sector_communication services,0.00033954486598852254,2026-01-30 01:11:37 UTC
unknown,sector_consumer cyclical,0.0010968135725271096,2026-01-30 01:11:37 UTC
unknown,sector_consumer defensive,0.00038238939208475346,2026-01-30 01:11:37 UTC
unknown,sector_energy,0.000498632001110398,2026-01-30 01:11:37 UTC
unknown,sector_financial services,0.0012442357522666374,2026-01-30 01:11:37 UTC
unknown,sector_healthcare,0.0008175687276661037,2026-01-30 01:11:37 UTC
unknown,sector_industrials,0.0014254859273244388,2026-01-30 01:11:37 UTC
unknown,sector_real estate,0.0004965880179822911,2026-01-30 01:11:37 UTC
unknown,sector_technology,0.0017828329981942935,2026-01-30 01:11:37 UTC
unknown,sector_unknown,1.791120959340197e-05,2026-01-30 01:11:37 UTC
unknown,sector_utilities,0.0004303625529356054,2026-01-30 01:11:37 UTC
unknown,size_factor,0.08151704388038625,2026-01-30 01:11:37 UTC
unknown,vol_factor,0.301802922547994,2026-01-30 01:11:37 UTC
unknown,volume_zscore,0.08957529611685623,2026-01-30 01:11:37 UTC
