date,realised_vol_20d,realised_vol_60d,drawdown_60d,regime_label,regime_run_date
2021-04-08 00:00:00+00:00,0.12374737235027272,,0.0,unknown,2026-02-02 07:30:34 UTC
2021-04-09 00:00:00+00:00,0.12393715596603866,,0.0,unknown,2026-02-02 07:30:34 UTC
2021-04-12 00:00:00+00:00,0.12006926291182327,,0.0,unknown,2026-02-02 07:30:34 UTC
2021-04-13 00:00:00+00:00,0.11596082185105878,,0.0,unknown,2026-02-02 07:30:34 UTC
2021-04-14 00:00:00+00:00,0.11576464851154303,,0.0,unknown,2026-02-02 07:30:34 UTC
2021-04-15 00:00:00+00:00,0.10782654661765051,,0.0,unknown,2026-02-02 07:30:34 UTC
2021-04-16 00:00:00+00:00,0.10765231796174567,,0.0,unknown,2026-02-02 07:30:34 UTC
2021-04-19 00:00:00+00:00,0.11119562118783552,,0.0,unknown,2026-02-02 07:30:34 UTC
2021-04-20 00:00:00+00:00,0.10237439969509503,0.1492733997073056,0.0,normal,2026-02-02 07:30:34 UTC
2021-04-21 00:00:00+00:00,0.10539625290623642,0.14107484737995502,0.0,recovery,2026-02-02 07:30:34 UTC
2021-04-22 00:00:00+00:00,0.10599802390130227,0.14041325199172044,0.0,normal,2026-02-02 07:30:34 UTC
2021-04-23 00:00:00+00:00,0.09432977502323998,0.13585682328159626,0.0,calm_trending_up,2026-02-02 07:30:34 UTC
2021-04-26 00:00:00+00:00,0.0900501002432274,0.1337009887573768,0.0,calm_trending_up,2026-02-02 07:30:34 UTC
2021-04-27 00:00:00+00:00,0.09000321767748057,0.13144151202747736,0.0,calm_trending_up,2026-02-02 07:30:34 UTC
2021-04-28 00:00:00+00:00,0.0902607555484101,0.1315328643479126,0.0,calm_trending_down,2026-02-02 07:30:34 UTC
2021-04-29 00:00:00+00:00,0.08472504269612605,0.12998748996393256,0.0,calm_trending_up,2026-02-02 07:30:34 UTC
2021-04-30 00:00:00+00:00,0.09147909674438699,0.13126773999495467,0.0,calm_trending_down,2026-02-02 07:30:34 UTC
2021-05-03 00:00:00+00:00,0.08832796769306883,0.12999387438310014,0.0,calm_trending_up,2026-02-02 07:30:34 UTC
2021-05-04 00:00:00+00:00,0.08995193805789668,0.13036199194060444,0.0,calm_trending_down,2026-02-02 07:30:34 UTC
2021-05-05 00:00:00+00:00,0.08808332099950711,0.13035147443547815,0.0,calm_trending_up,2026-02-02 07:30:34 UTC
2021-05-06 00:00:00+00:00,0.0882998416925624,0.13040948458900342,0.0,calm_trending_up,2026-02-02 07:30:34 UTC
2021-05-07 00:00:00+00:00,0.0932743434102548,0.13166143004468175,0.0,calm_trending_up,2026-02-02 07:30:34 UTC
