week_start,lo_weekly_return,ls_weekly_return,spread_weekly_return,lo_cum_return,ls_cum_return,spread_cum_return,lo_drawdown,ls_drawdown,spread_drawdown
2021-02-01,0.1152962901740014,0.02662940474422,-0.0886668854297814,0.1152962901740015,0.0266294047442199,-0.0886668854297814,0.0,0.0,-0.0
2021-02-08,-0.0027449965504831,-0.0055863123144575,-0.0028413157639744003,0.1122348057047071,0.0208943322581129,-0.09125627057444163,-0.0265531914745404,-0.2153661541139695,0.029203519804593316
2021-02-15,-0.0180383853265974,-0.0039012468734998,0.014137138453097598,0.0921718857057525,0.0169115714362173,-0.07840923465316829,-0.2005650349490899,-0.3649286719453197,-0.0
2021-02-22,0.0080956100040558,0.0078882750774305,-0.00020733492662530079,0.1010136833498205,0.0249332496411283,-0.07860031260688005,-0.1238774188018206,-0.0636948185430162,0.002436931753727292
2021-03-01,0.0350911238313526,0.0523335919292027,0.0172424680978501,0.1396494908522627,0.0785716880825186,-0.0627131078916352,0.0,0.0,-0.0
2021-03-08,0.0200616488480609,-0.0750032179125936,-0.0950648667606545,0.1625127387476121,-0.0023246592730884,-0.15181616140642484,0.0,-1.0295864748463468,1.4208043024873653
2021-03-15,-0.0206749280425663,0.0097130218125973,0.0303879498551636,0.1384778715254386,0.0073657830732825,-0.12604159345128307,-0.1478952813631458,-0.9062539796071748,1.0098125844612265
2021-03-22,-0.1379640851819452,-0.0395499119201743,0.0984141732617709,-0.0185911865194566,-0.0324754449186633,-0.04003169940561646,-1.1143983337105003,-1.4133224792695882,-0.0
2021-03-29,0.0149342786113033,-0.0215609253098199,-0.0364952039211232,-0.0039345538673496,-0.0533361695861889,-0.07506593829362251,-1.0242107412481685,-1.678821734492626,0.875162418987657
2021-04-05,-0.0229430210295842,-4.492433567358789e-05,0.022898096693910613,-0.0267873043448132,-0.0533786978298764,-0.053886708713178466,-1.1648320282535811,-1.6793630012609164,0.3461009528268526
2021-04-12,-0.0162793423093471,-0.0008369819437416,0.0154423603656055,-0.0426305669571864,-0.0541710027673539,-0.0392764863224383,-1.2623213865307703,-1.6894468489777352,-0.0
2021-04-19,0.0089355839495823,-0.0141065115020477,-0.023042095451630003,-0.0340759120174682,-0.0675133503957866,-0.061413569227222076,-1.2096814826952695,-1.859257985203039,0.5636217741844455
2021-04-26,-0.0357252418027305,-0.0216790280248565,0.014046213777874,-0.0685837836237263,-0.087728754605361,-0.04822998357157582,-1.422020969877563,-2.116544098088172,0.22796074922879417
2021-05-03,-0.0043355117509347,0.0037250889734614,0.0080606007243961,-0.0726219495748368,-0.0843304630483354,-0.04055814548769432,-1.446869273968862,-2.073293257486956,0.03263171646094578
2021-05-10,0.0176865847983993,0.0053308312552147,-0.012355753543184599,-0.0562197990458178,-0.0794491832613055,-0.05241277258106436,-1.3459408750296746,-2.011168083570577,0.3344567574294807
2021-05-17,-0.042104298521406,-0.0388155305286722,0.003288767992733803,-0.0959570023653852,-0.1151808515916203,-0.049296378037205546,-1.5904583425574397,-2.465933269381377,0.25511171321460535
