ticker,company_name,sector
MSTR,,
MRNA,,
PSKY,,
WBD,,
TPL,,
WDC,,
GNRC,,
NWS,,
WDAY,,
NWSA,,
SHOP,,
AXON,,
ABNB,,
PYPL,,
XYZ,,
PLTR,,
STX,,
SWKS,,
CDW,,
PDD,,
ZBRA,,
LEN,,
EL,,
SPG,,
MGM,,
GOOG,,
KKR,,
KHC,,
GOOGL,,
FRT,,
TPR,,
HPE,,
NVDA,,
FCX,,
MTCH,,
TECH,,
F,,
DXCM,,
PTC,,
DHI,,
FANG,,
FTNT,,
IT,,
WFC,,
IFF,,
TTD,,
OXY,,
WYNN,,
MHK,,
CRM,,
ABT,,
EPAM,,
LYV,,
DDOG,,
NOW,,
MPC,,
ESS,,
NVR,,
CBRE,,
MSFT,,
TEAM,,
RJF,,
REG,,
IRM,,
HST,,
VLO,,
DAL,,
IDXX,,
IVZ,,
TYL,,
CCL,,
SNA,,
EQR,,
BG,,
LUV,,
FOXA,,
AVY,,
EQT,,
ULTA,,
WELL,,
NXPI,,
NFLX,,
EBAY,,
AVB,,
UDR,,
EXPE,,
URI,,
PHM,,
NTAP,,
FOX,,
CCEP,,
PLD,,
PCAR,,
RF,,
LVS,,
ALGN,,
APTV,,
TFC,,
VICI,,
ADBE,,
HPQ,,
HOLX,,
PSX,,
WTW,,
ASML,,
INTU,,
CRWD,,
KIM,,
AON,,
BX,,
CMCSA,,
DIS,,
VTR,,
SNPS,,
INTC,,
MLM,,
FE,,
AMAT,,
PANW,,
PNC,,
SPGI,,
LH,,
STZ,,
ON,,
TRMB,,
TSCO,,
SW,,
DELL,,
BBY,,
KEY,,
JCI,,
DVN,,
HRL,,
CSGP,,
UBER,,
HLT,,
GD,,
GRMN,,
BLDR,,
XOM,,
O,,
ERIE,,
DRI,,
EXR,,
WY,,
DE,,
FITB,,
MET,,
APO,,
FFIV,,
KLAC,,
CMG,,
MAR,,
ZS,,
CTAS,,
MSCI,,
UAL,,
IBKR,,
CPT,,
GS,,
CRL,,
JPM,,
OMC,,
GDDY,,
COP,,
RTX,,
PSA,,
CB,,
MOS,,
DASH,,
MSI,,
HCA,,
HII,,
AVGO,,
DOC,,
MU,,
AAPL,,
FIS,,
CDNS,,
COF,,
BSX,,
MCHP,,
MAA,,
MO,,
AMZN,,
VST,,
ADP,,
MMM,,
VTRS,,
CAT,,
BKNG,,
AOS,,
FDX,,
RL,,
SLB,,
INVH,,
ADM,,
TSN,,
PM,,
RCL,,
AMCR,,
GPN,,
BAC,,
AMP,,
ROST,,
AMD,,
GE,,
TDY,,
AMT,,
LYB,,
META,,
CSCO,,
EG,,
MA,,
EOG,,
DOW,,
UPS,,
CTVA,,
KO,,
WAT,,
EA,,
