"week","ticker","predicted_score","side","target_weight"
"2021-07-12","TTD","0.2774055403544858","long","0.1"
"2021-07-12","TTD","0.2774055403544858","short","0.1"
"2021-07-12","GNRC","0.2428755238004008","long","0.1"
"2021-07-12","GNRC","0.2428755238004008","short","0.1"
"2021-07-12","NKE","0.23016946360649","long","0.1"
"2021-07-12","NKE","0.23016946360649","short","0.1"
"2021-07-12","FSLR","0.1824317714523673","long","0.1"
"2021-07-12","FSLR","0.1824317714523673","short","0.1"
"2021-07-12","DECK","0.1621807656404441","long","0.1"
"2021-07-12","DECK","0.1621807656404441","short","0.1"
"2021-07-12","CMG","0.1528415913508609","long","0.1"
"2021-07-12","CMG","0.1528415913508609","short","0.1"
"2021-07-12","AXON","0.1382748513898334","long","0.1"
"2021-07-12","AXON","0.1382748513898334","short","0.1"
"2021-07-12","MSCI","0.1326492625155075","long","0.1"
"2021-07-12","MSCI","0.1326492625155075","short","0.1"
"2021-07-12","AZO","0.1280504327823453","long","0.1"
"2021-07-12","AZO","0.1280504327823453","short","0.1"
"2021-07-12","NVDA","0.1192178445550468","long","0.1"
"2021-07-12","NVDA","0.1192178445550468","short","0.1"
"2022-01-03","GDDY","0.1996025640743757","long","0.1"
"2022-01-03","GDDY","0.1996025640743757","short","0.1"
"2022-01-03","CF","0.1859665438549989","long","0.1"
"2022-01-03","CF","0.1859665438549989","short","0.1"
"2022-01-03","MELI","0.1839359700195079","long","0.1"
"2022-01-03","MELI","0.1839359700195079","short","0.1"
"2022-01-03","JBL","0.1679100742409155","long","0.1"
"2022-01-03","JBL","0.1679100742409155","short","0.1"
"2022-01-03","AVGO","0.1674845245820352","long","0.1"
"2022-01-03","AVGO","0.1674845245820352","short","0.1"
"2022-01-03","LW","0.1643582251168153","long","0.1"
"2022-01-03","LW","0.1643582251168153","short","0.1"
"2022-01-03","ANET","0.1586909483175426","long","0.1"
"2022-01-03","ANET","0.1586909483175426","short","0.1"
"2022-01-03","MOS","0.1509888765106051","long","0.1"
"2022-01-03","MOS","0.1509888765106051","short","0.1"
"2022-01-03","ELV","0.1446282775849445","long","0.1"
"2022-01-03","ELV","0.1446282775849445","short","0.1"
"2022-01-03","CNC","0.1429338002400393","long","0.1"
"2022-01-03","CNC","0.1429338002400393","short","0.1"
"2023-07-03","CCL","0.4909145060614741","long","0.1"
"2023-07-03","CCL","0.4909145060614741","short","0.1"
"2023-07-03","MSTR","0.3252465532672695","long","0.1"
"2023-07-03","MSTR","0.3252465532672695","short","0.1"
"2023-07-03","NCLH","0.3193155504767976","long","0.1"
"2023-07-03","NCLH","0.3193155504767976","short","0.1"
"2023-07-03","GNRC","0.2996900963319314","long","0.1"
"2023-07-03","GNRC","0.2996900963319314","short","0.1"
"2023-07-03","COIN","0.2971304078038397","long","0.1"
"2023-07-03","COIN","0.2971304078038397","short","0.1"
"2023-07-03","DAL","0.263773086519586","long","0.1"
"2023-07-03","DAL","0.263773086519586","short","0.1"
"2023-07-03","TSLA","0.2612609567146091","long","0.1"
"2023-07-03","TSLA","0.2612609567146091","short","0.1"
"2023-07-03","URI","0.2471059620729058","long","0.1"
"2023-07-03","URI","0.2471059620729058","short","0.1"
"2023-07-03","LUV","0.2219355868255455","long","0.1"
"2023-07-03","LUV","0.2219355868255455","short","0.1"
"2023-07-03","F","0.2025319662460183","long","0.1"
"2023-07-03","F","0.2025319662460183","short","0.1"
"2025-08-04","AMD","0.2868573288118661","long","0.1"
"2025-08-04","AMD","0.2868573288118661","short","0.1"
"2025-08-04","IVZ","0.239172399245041","long","0.1"
"2025-08-04","IVZ","0.239172399245041","short","0.1"
"2025-08-04","GNRC","0.2345269772711151","long","0.1"
"2025-08-04","GNRC","0.2345269772711151","short","0.1"
"2025-08-04","GEV","0.2283128303583664","long","0.1"
"2025-08-04","GEV","0.2283128303583664","short","0.1"
"2025-08-04","PTC","0.2079900174828338","long","0.1"
"2025-08-04","PTC","0.2079900174828338","short","0.1"
"2025-08-04","SMCI","0.2012992924967868","long","0.1"
"2025-08-04","SMCI","0.2012992924967868","short","0.1"
"2025-08-04","TTD","0.1871141404736465","long","0.1"
"2025-08-04","TTD","0.1871141404736465","short","0.1"
"2025-08-04","TEL","0.1810288356574301","long","0.1"
"2025-08-04","TEL","0.1810288356574301","short","0.1"
"2025-08-04","TPR","0.1793183475840317","long","0.1"
"2025-08-04","TPR","0.1793183475840317","short","0.1"
"2025-08-04","CSGP","0.1703822726791542","long","0.1"
"2025-08-04","CSGP","0.1703822726791542","short","0.1"
"2025-10-06","WBD","0.5253179084355708","long","0.1"
"2025-10-06","WBD","0.5253179084355708","short","0.1"
"2025-10-06","INTC","0.4539407983190885","long","0.1"
"2025-10-06","INTC","0.4539407983190885","short","0.1"
"2025-10-06","MU","0.4202065739982313","long","0.1"
"2025-10-06","MU","0.4202065739982313","short","0.1"
"2025-10-06","LRCX","0.392927947323919","long","0.1"
"2025-10-06","LRCX","0.392927947323919","short","0.1"
"2025-10-06","AMAT","0.3475560880353834","long","0.1"
"2025-10-06","AMAT","0.3475560880353834","short","0.1"
"2025-10-06","MRVL","0.3317548174378523","long","0.1"
"2025-10-06","MRVL","0.3317548174378523","short","0.1"
"2025-10-06","SMCI","0.3231029585556974","long","0.1"
"2025-10-06","SMCI","0.3231029585556974","short","0.1"
"2025-10-06","ASML","0.2956009795894722","long","0.1"
"2025-10-06","ASML","0.2956009795894722","short","0.1"
"2025-10-06","WDC","0.2942027043571165","long","0.1"
"2025-10-06","WDC","0.2942027043571165","short","0.1"
"2025-10-06","CNC","0.2755450040158496","long","0.1"
"2025-10-06","CNC","0.2755450040158496","short","0.1"
"2025-11-03","AMD","0.2514498861315585","long","0.1"
"2025-11-03","AMD","0.2514498861315585","short","0.1"
"2025-11-03","MU","0.2057229854213861","long","0.1"
"2025-11-03","MU","0.2057229854213861","short","0.1"
"2025-11-03","WDC","0.1952983460480551","long","0.1"
"2025-11-03","WDC","0.1952983460480551","short","0.1"
"2025-11-03","ISRG","0.1952297171499941","long","0.1"
"2025-11-03","ISRG","0.1952297171499941","short","0.1"
"2025-11-03","JBHT","0.1859780145575976","long","0.1"
"2025-11-03","JBHT","0.1859780145575976","short","0.1"
"2025-11-03","GM","0.1630551517359066","long","0.1"
"2025-11-03","GM","0.1630551517359066","short","0.1"
"2025-11-03","LVS","0.1592196193090842","long","0.1"
"2025-11-03","LVS","0.1592196193090842","short","0.1"
"2025-11-03","CAH","0.1571234870953609","long","0.1"
"2025-11-03","CAH","0.1571234870953609","short","0.1"
"2025-11-03","WBD","0.1502686791690933","long","0.1"
"2025-11-03","WBD","0.1502686791690933","short","0.1"
"2025-11-03","TER","0.1480581984904221","long","0.1"
"2025-11-03","TER","0.1480581984904221","short","0.1"
"2025-12-08","DECK","0.2514429296190807","long","0.1"
"2025-12-08","DECK","0.2514429296190807","short","0.1"
"2025-12-08","DXCM","0.1917032915461248","long","0.1"
"2025-12-08","DXCM","0.1917032915461248","short","0.1"
"2025-12-08","ADI","0.1889746927366766","long","0.1"
"2025-12-08","ADI","0.1889746927366766","short","0.1"
"2025-12-08","ALB","0.1881157711325545","long","0.1"
"2025-12-08","ALB","0.1881157711325545","short","0.1"
"2025-12-08","MCHP","0.1704403391169937","long","0.1"
"2025-12-08","MCHP","0.1704403391169937","short","0.1"
"2025-12-08","DG","0.1624650677510731","long","0.1"
"2025-12-08","DG","0.1624650677510731","short","0.1"
"2025-12-08","WBD","0.1575067579199934","long","0.1"
"2025-12-08","WBD","0.1575067579199934","short","0.1"
"2025-12-08","BIIB","0.1471577193030594","long","0.1"
"2025-12-08","BIIB","0.1471577193030594","short","0.1"
"2025-12-08","SNPS","0.143433994089128","long","0.1"
"2025-12-08","SNPS","0.143433994089128","short","0.1"
"2025-12-08","LUV","0.1391625881546117","long","0.1"
"2025-12-08","LUV","0.1391625881546117","short","0.1"
"2026-01-12","MU","0.4010898640313157","long","0.1"
"2026-01-12","MU","0.4010898640313157","short","0.1"
"2026-01-12","LRCX","0.2950248804819267","long","0.1"
"2026-01-12","LRCX","0.2950248804819267","short","0.1"
"2026-01-12","ALB","0.2424709502104785","long","0.1"
"2026-01-12","ALB","0.2424709502104785","short","0.1"
"2026-01-12","FCX","0.2048278469668438","long","0.1"
"2026-01-12","FCX","0.2048278469668438","short","0.1"
"2026-01-12","HII","0.1765949394531267","long","0.1"
"2026-01-12","HII","0.1765949394531267","short","0.1"
"2026-01-12","SNPS","0.1581086246650755","long","0.1"
"2026-01-12","SNPS","0.1581086246650755","short","0.1"
"2026-01-12","LHX","0.1559688444474386","long","0.1"
"2026-01-12","LHX","0.1559688444474386","short","0.1"
"2026-01-12","Q","0.1532913749415341","long","0.1"
"2026-01-12","Q","0.1532913749415341","short","0.1"
"2026-01-12","BA","0.1503475662696509","long","0.1"
"2026-01-12","BA","0.1503475662696509","short","0.1"
"2026-01-12","URI","0.1500425984124893","long","0.1"
"2026-01-12","URI","0.1500425984124893","short","0.1"
