date,ticker,score,weight,portfolio_weekly_return,cumulative_return
2021-01-11,A,,0.1,0.0030089411382375,0.0030089411382374
2021-01-11,AAPL,,0.1,0.0030089411382375,0.0030089411382374
2021-01-11,ABBV,,0.1,0.0030089411382375,0.0030089411382374
2021-01-11,ABNB,,0.1,0.0030089411382375,0.0030089411382374
2021-01-11,ABT,,0.1,0.0030089411382375,0.0030089411382374
2021-01-11,ACGL,,0.1,0.0030089411382375,0.0030089411382374
2021-01-11,ACN,,0.1,0.0030089411382375,0.0030089411382374
2021-01-11,ADBE,,0.1,0.0030089411382375,0.0030089411382374
2021-01-11,ADI,,0.1,0.0030089411382375,0.0030089411382374
2021-01-11,ADM,,0.1,0.0030089411382375,0.0030089411382374
2021-01-18,ABNB,0.1427124734544669,0.1,0.0211934469048351,0.0242661578773255
2021-01-18,AXON,0.2077059331561371,0.1,0.0211934469048351,0.0242661578773255
2021-01-18,DASH,0.1206586460867329,0.1,0.0211934469048351,0.0242661578773255
2021-01-18,EQT,0.2155058919464461,0.1,0.0211934469048351,0.0242661578773255
2021-01-18,GM,0.1101978023579932,0.1,0.0211934469048351,0.0242661578773255
2021-01-18,INTC,0.1171905473076483,0.1,0.0211934469048351,0.0242661578773255
2021-01-18,MSTR,0.1666632920093066,0.1,0.0211934469048351,0.0242661578773255
2021-01-18,OXY,0.1150398144780493,0.1,0.0211934469048351,0.0242661578773255
2021-01-18,SPG,0.1185951489383725,0.1,0.0211934469048351,0.0242661578773255
2021-01-18,WSM,0.1230437153051431,0.1,0.0211934469048351,0.0242661578773255
2021-01-25,AAPL,0.1241151396496047,0.1,-0.0317813888671039,-0.0082864431895881
2021-01-25,AXON,0.1576572815552649,0.1,-0.0317813888671039,-0.0082864431895881
2021-01-25,DHI,0.1385524873959895,0.1,-0.0317813888671039,-0.0082864431895881
2021-01-25,F,0.1485249287363706,0.1,-0.0317813888671039,-0.0082864431895881
2021-01-25,LEN,0.1316098906916748,0.1,-0.0317813888671039,-0.0082864431895881
2021-01-25,MRNA,0.1338218813752377,0.1,-0.0317813888671039,-0.0082864431895881
2021-01-25,NVR,0.1321837068498129,0.1,-0.0317813888671039,-0.0082864431895881
2021-01-25,PDD,0.1192927797245144,0.1,-0.0317813888671039,-0.0082864431895881
2021-01-25,PHM,0.1470725683159112,0.1,-0.0317813888671039,-0.0082864431895881
2021-01-25,PLTR,0.4130265368439655,0.1,-0.0317813888671039,-0.0082864431895881
2021-02-01,ABT,0.0681659659310827,0.1,0.1002050316163954,0.091088245125007
2021-02-01,HOLX,0.0858004108719976,0.1,0.1002050316163954,0.091088245125007
2021-02-01,IFF,0.1187998955376996,0.1,0.1002050316163954,0.091088245125007
2021-02-01,MRNA,0.0712924879424426,0.1,0.1002050316163954,0.091088245125007
2021-02-01,MSTR,0.1104967130929931,0.1,0.1002050316163954,0.091088245125007
2021-02-01,PSKY,0.0968351044904048,0.1,0.1002050316163954,0.091088245125007
