date,ticker,adj_close
2025-12-31,BALL,52.970001220703125
2026-01-01,BALL,52.970001220703125
2026-01-02,BALL,53.34999847412109
2026-01-05,BALL,53.90999984741211
2026-01-06,BALL,54.29999923706055
2026-01-07,BALL,53.52999877929688
2026-01-08,BALL,54.83000183105469
2026-01-09,BALL,55.619998931884766
2026-01-12,BALL,55.470001220703125
2026-01-13,BALL,55.5
2026-01-14,BALL,56.02999877929688
2026-01-15,BALL,55.88999938964844
2026-01-16,BALL,56.08000183105469
2026-01-19,BALL,56.08000183105469
2026-01-20,BALL,55.369998931884766
2026-01-21,BALL,55.91999816894531
2026-01-22,BALL,56.290000915527344
2026-01-23,BALL,57.36000061035156
2026-01-26,BALL,57.209999084472656
2026-01-27,BALL,57.0099983215332
2026-01-28,BALL,56.2599983215332
2026-01-29,BALL,56.56999969482422
2026-01-30,BALL,56.869998931884766
2026-02-02,BALL,56.68999862670898
2026-02-03,BALL,61.77000045776367
2026-02-04,BALL,64.80999755859375
2026-02-05,BALL,66.19000244140625
2026-02-06,BALL,66.47000122070312
2026-02-09,BALL,66.16000366210938
2025-12-31,CHRW,160.75999450683594
2026-01-01,CHRW,160.75999450683594
2026-01-02,CHRW,163.72000122070312
2026-01-05,CHRW,167.2100067138672
2026-01-06,CHRW,167.66000366210938
2026-01-07,CHRW,166.72999572753906
2026-01-08,CHRW,166.00999450683594
2026-01-09,CHRW,170.77000427246094
2026-01-12,CHRW,172.5399932861328
2026-01-13,CHRW,173.4199981689453
2026-01-14,CHRW,172.30999755859375
2026-01-15,CHRW,175.3300018310547
2026-01-16,CHRW,175.77000427246094
2026-01-19,CHRW,175.77000427246094
2026-01-20,CHRW,175.10000610351562
2026-01-21,CHRW,179.3800048828125
2026-01-22,CHRW,177.89999389648438
2026-01-23,CHRW,176.66000366210938
2026-01-26,CHRW,178.11000061035156
2026-01-27,CHRW,180.42999267578125
2026-01-28,CHRW,184.27999877929688
2026-01-29,CHRW,193.72000122070312
2026-01-30,CHRW,194.9499969482422
2026-02-02,CHRW,198.5
2026-02-03,CHRW,199.7100067138672
2026-02-04,CHRW,198.7400054931641
2026-02-05,CHRW,197.44000244140625
2026-02-06,CHRW,200.58999633789065
2026-02-09,CHRW,200.7749938964844
2025-12-31,DG,132.20616149902344
2026-01-01,DG,132.20616149902344
2026-01-02,DG,136.2389678955078
2026-01-05,DG,138.33999633789062
2026-01-06,DG,144.69000244140625
2026-01-07,DG,143.50999450683594
2026-01-08,DG,144.0
2026-01-09,DG,142.74000549316406
2026-01-12,DG,148.86000061035156
2026-01-13,DG,151.25
2026-01-14,DG,150.9499969482422
2026-01-15,DG,151.72999572753906
2026-01-16,DG,148.74000549316406
2026-01-19,DG,148.74000549316406
2026-01-20,DG,146.6300048828125
2026-01-21,DG,147.16000366210938
2026-01-22,DG,144.60000610351562
2026-01-23,DG,146.9199981689453
2026-01-26,DG,150.3300018310547
2026-01-27,DG,147.66000366210938
2026-01-28,DG,145.0399932861328
2026-01-29,DG,141.77999877929688
2026-01-30,DG,143.42999267578125
2026-02-02,DG,143.50999450683594
2026-02-03,DG,148.0399932861328
2026-02-04,DG,149.25
2026-02-05,DG,144.89999389648438
2026-02-06,DG,146.64999389648438
2026-02-09,DG,149.02000427246094
2025-12-31,EA,204.3300018310547
2026-01-01,EA,204.3300018310547
2026-01-02,EA,204.41000366210935
2026-01-05,EA,204.3600006103516
2026-01-06,EA,204.27999877929688
2026-01-07,EA,204.5
2026-01-08,EA,204.22000122070312
2026-01-09,EA,204.1000061035156
2026-01-12,EA,204.25
2026-01-13,EA,204.3300018310547
2026-01-14,EA,204.1999969482422
2026-01-15,EA,204.1499938964844
2026-01-16,EA,204.25
2026-01-19,EA,204.25
2026-01-20,EA,204.0
2026-01-21,EA,204.1499938964844
2026-01-22,EA,204.3800048828125
2026-01-23,EA,204.0
2026-01-26,EA,204.3999938964844
2026-01-27,EA,204.3699951171875
2026-01-28,EA,203.94000244140625
2026-01-29,EA,203.9499969482422
2026-01-30,EA,203.9199981689453
2026-02-02,EA,203.6000061035156
2026-02-03,EA,201.38999938964844
2026-02-04,EA,196.83999633789065
2026-02-05,EA,197.92999267578125
2026-02-06,EA,200.0
2026-02-09,EA,201.38499450683597
2025-12-31,EXPD,149.00999450683594
2026-01-01,EXPD,149.00999450683594
2026-01-02,EXPD,151.86000061035156
2026-01-05,EXPD,154.39999389648438
2026-01-06,EXPD,157.5
2026-01-07,EXPD,156.89999389648438
2026-01-08,EXPD,158.14999389648438
2026-01-09,EXPD,158.88999938964844
2026-01-12,EXPD,161.1199951171875
2026-01-13,EXPD,160.69000244140625
2026-01-14,EXPD,162.22000122070312
2026-01-15,EXPD,163.75999450683594
2026-01-16,EXPD,162.41000366210938
2026-01-19,EXPD,162.41000366210938
2026-01-20,EXPD,159.1199951171875
2026-01-21,EXPD,162.50999450683594
2026-01-22,EXPD,160.8000030517578
2026-01-23,EXPD,159.2100067138672
2026-01-26,EXPD,158.83999633789062
2026-01-27,EXPD,158.3800048828125
2026-01-28,EXPD,160.07000732421875
2026-01-29,EXPD,161.5
2026-01-30,EXPD,160.5399932861328
2026-02-02,EXPD,163.5500030517578
2026-02-03,EXPD,162.22000122070312
2026-02-04,EXPD,164.9199981689453
